,R,Name,Club,Pos,BaseSalary,Compensation,Apps,SubApps,Mins,Goals,Assists,Yel,Red,SpG,PS,AerialsWon,MotM,Rating
218,54,Gustav Svensson,SEA,M,170000.04,170000.04,30,2,2646,1,3,1,0,0.5,86.5,1.5,1,7.01
219,78,Ben Sweat,NYCFC,D,65004.0,65004.0,25,1,2176,1,6,3,0,0.7,78.8,1.8,1,6.95
220,224,Tony Tchani,VAN,M,275000.0,308333.33,26,1,2122,4,1,4,2,0.8,80.2,0.8,2,6.61
221,122,Cristian Techera,VAN,M,352000.0,377000.0,24,5,2045,6,4,1,0,1.9,70.6,0.2,3,6.84
222,136,Jerome Thiesson,MNUFC,D,171000.0,210166.67,33,0,2955,2,3,6,0,0.3,78.9,1.1,0,6.81
223,262,Tommy Thompson,SJ,M,150000.0,155000.0,16,16,1538,1,4,1,0,1.3,83.2,0.3,1,6.52
224,270,Chris Tierney,NE,D,140000.0,148333.33,20,6,1716,1,2,3,0,0.3,81.8,0.5,0,6.5
225,129,Donny Toia,ORL,D,70875.0,70875.0,29,1,2545,0,2,4,0,0.4,75.0,1.6,1,6.82
226,82,Nouhou Tolo,SEA,D,52999.92,52999.92,10,9,1054,0,0,1,1,0.3,83.3,0.5,0,6.93
227,102,Erick Torres,HOU,F,650000.0,665000.0,23,4,2002,14,3,6,0,2.7,72.9,1.5,2,6.89
228,140,Wil Trapp,CLB,M,300000.0,350000.0,34,0,3035,0,4,3,0,0.2,89.3,0.7,0,6.8
229,271,Victor Ulloa,DAL,M,150000.0,152500.0,12,11,1206,0,2,1,0,0.3,85.2,0.9,0,6.5
230,19,Maximiliano Urruti,DAL,F,300000.0,300000.0,31,1,2749,12,4,1,0,3.2,77.0,0.5,3,7.22
231,125,Zarek Valentin,POR,D,110000.0,110000.0,17,2,1547,0,3,2,0,0.1,83.6,0.8,0,6.84
232,13,Diego Valeri,POR,M,2227500.0,2607500.0,32,0,2830,21,9,4,0,2.9,79.0,0.6,3,7.26
233,312,Johan Venegas,MNUFC,M,215000.0,227500.0,12,10,1229,2,5,4,0,1.5,76.0,0.5,0,6.34
234,1,David Villa,NYCFC,F,5610000.0,5610000.0,28,3,2560,22,5,4,0,4.4,69.8,0.6,9,7.63
235,117,Brandon Vincent,CHI,D,96250.0,118125.0,26,1,2341,2,4,3,0,0.7,79.0,1.5,0,6.86
236,98,Anton Walkes,ATL,D,53004.0,53004.0,17,3,1528,2,0,2,0,0.4,78.5,1.3,1,6.9
237,88,Rodney Wallace,NYCFC,M,220000.08,220000.08,23,3,1936,4,5,6,0,2.0,78.3,0.7,2,6.91
238,313,Collen Warner,MNUFC,M,230004.0,230004.0,12,13,1283,1,0,6,0,0.3,81.3,0.8,0,6.33
239,52,Kendall Waston,VAN,D,350000.0,368125.0,25,0,2250,4,1,7,0,0.8,71.9,2.2,1,7.02
240,321,Je-Vaughn Watson,NE,D,150000.0,155666.67,8,10,766,0,0,4,1,0.3,83.5,0.6,0,6.2
241,301,Jared Watts,COL,D,75000.0,75000.0,18,2,1490,0,1,4,2,0.2,82.2,0.6,1,6.38
242,249,Andrew Wenger,HOU,M,210000.0,210000.0,12,10,1113,2,2,2,0,1.0,57.1,1.0,0,6.56
243,209,Ethan White,NYCFC,D,65000.0,65000.0,19,2,1553,0,2,5,0,0.1,73.5,0.8,0,6.64
244,128,Josh Williams,CLB,D,110004.0,110004.0,19,3,1795,3,0,4,0,0.3,87.5,1.9,1,6.83
245,229,Mekeil Williams,COL,D,110000.0,115000.0,16,1,1398,0,1,6,1,0.2,71.2,1.4,0,6.6
246,300,Chris Wingert,RSL,D,134004.0,145394.0,20,3,1756,1,0,5,0,0.3,73.5,1.3,0,6.39
247,95,Chris Wondolowski,SJ,F,800000.0,800000.0,34,0,3041,13,8,3,0,2.3,78.4,1.0,2,6.9
248,47,Bradley Wright-Phillips,NYRB,F,1500000.0,1635000.0,29,3,2561,17,1,6,0,2.6,66.3,1.5,1,7.04
249,244,Gyasi Zardes,LA,F,577500.0,577500.0,23,1,1987,2,2,3,0,1.2,76.2,1.8,0,6.58
250,149,Eriq Zavaleta,TOR,D,102850.0,133450.0,27,2,2356,1,0,4,0,0.1,81.5,1.3,1,6.77
251,135,Walker Zimmerman,DAL,D,205000.0,205000.0,18,4,1602,1,1,0,0,0.4,79.0,2.9,1,6.81
252,213,Sal Zizzo,NYRB,M,110000.0,110000.0,18,5,1647,0,2,4,1,0.3,75.8,1.0,0,6.64
253,9,Graham Zusi,KC,M,725000.0,757102.27,23,1,2115,0,6,3,1,1.5,86.6,0.7,1,7.31
