,R1,R2,Name1,Name2,Club1,Club2,Pos1,Pos2,BaseSalary1,BaseSalary2,Compensation1,Compensation2,Apps1,Apps2,SubApps1,SubApps2,Mins1,Mins2,Goals1,Goals2,Assists1,Assists2,Yel1,Yel2,Red1,Red2,SpG1,SpG2,PS1,PS2,AerialsWon1,AerialsWon2,MotM1,MotM2,Rating1,Rating2
99,241,115,Tim Melia,Tim Melia,KC,KC,GK,GK,150000.0,165000.0,152500.0,167500.0,27,31,0,0,2430,2759,0,0,0,0,3,1,0,0,0.0,0.0,52.2,69.2,0.3,0.1,2,2,6.57,6.86
100,11,26,Justin Meram,Justin Meram,CLB,CLB,F,M,175000.0,300000.0,185000.0,328750.0,31,32,2,2,2605,2589,5,13,10,5,3,6,0,0,2.3,1.8,72.5,75.3,0.7,0.6,5,6,7.23,7.17
101,278,311,Nicolas Mezquida,Nicolas Mezquida,VAN,VAN,M,M,88000.0,120000.0,88000.0,120000.0,17,8,11,12,1396,686,4,2,1,1,1,1,0,0,1.8,0.6,72.7,68.5,0.2,0.2,0,0,6.42,6.34
102,199,284,Eric Miller,Eric Miller,COL,COL,M,D,66412.5,75553.75,77412.5,86553.75,23,30,3,0,2118,2617,0,0,0,0,3,5,1,0,0.3,0.1,76.9,74.0,1.3,0.9,0,0,6.67,6.44
103,25,84,Kevin Molino,Kevin Molino,ORL,MNUFC,M,M,110000.0,350004.0,121400.0,402504.0,26,30,4,0,2318,2514,11,7,8,9,1,5,0,0,2.0,1.5,80.1,79.0,0.2,0.4,4,5,7.12,6.92
104,71,77,Drew Moor,Drew Moor,TOR,TOR,D,D,235000.0,246750.0,250000.0,261750.0,32,24,0,1,2880,2176,3,2,0,1,3,1,0,0,0.7,0.5,86.0,86.5,1.7,1.6,2,1,6.92,6.95
105,83,220,Jordan Morris,Jordan Morris,SEA,SEA,F,F,178000.0,225000.0,190500.0,237500.0,32,22,2,1,2858,1803,12,3,3,1,0,0,0,0,2.1,1.5,77.5,77.1,1.8,1.2,2,0,6.88,6.62
106,70,28,Justin Morrow,Justin Morrow,TOR,TOR,D,D,200000.0,210000.0,216666.67,226666.67,31,28,0,0,2653,2479,5,8,3,1,5,0,0,0,0.5,0.9,75.9,84.0,0.6,0.5,2,4,6.93,7.14
107,184,306,Yura Movsisyan,Yura Movsisyan,RSL,RSL,F,F,200000.0,1750000.0,200000.0,1973750.0,25,16,4,12,2166,1419,9,7,3,0,3,4,0,0,2.3,1.6,66.7,58.4,0.4,0.7,1,0,6.7,6.37
108,224,69,Luke Mulholland,Luke Mulholland,RSL,RSL,M,M,93500.0,172500.0,94750.0,172500.0,23,22,10,5,2028,1950,4,3,2,2,7,4,0,0,1.3,1.6,79.8,75.7,0.6,0.9,0,0,6.6,6.97
109,174,178,Alex Muyl,Alex Muyl,NYRB,NYRB,F,F,62500.0,65625.0,66500.0,69625.0,18,21,9,9,1600,1940,2,3,3,3,5,4,0,0,1.1,1.2,71.7,77.6,1.2,0.9,0,0,6.71,6.71
110,46,39,Darlington Nagbe,Darlington Nagbe,POR,POR,M,M,500000.0,550000.0,500000.0,565000.0,27,27,0,0,2416,2332,1,3,5,3,1,3,0,0,1.4,1.6,89.9,92.2,0.7,0.7,2,0,7.01,7.07
111,73,314,Lamar Neagle,Lamar Neagle,DC,DC,M,M,185000.0,200000.0,187833.33,202833.33,21,9,10,13,1950,1117,9,1,5,0,2,4,0,0,1.6,1.2,69.3,68.7,1.9,1.5,1,1,6.91,6.32
112,77,10,Lee Nguyen,Lee Nguyen,NE,NE,M,M,500000.0,500000.0,500000.0,500000.0,33,30,0,1,2902,2545,6,11,4,9,2,3,0,0,2.1,1.6,80.1,78.8,0.0,0.1,2,4,6.91,7.31
113,276,299,Antonio Nocerino,Antonio Nocerino,ORL,ORL,M,M,600000.0,800000.0,650000.0,850000.0,19,28,2,3,1512,2235,0,1,0,0,3,2,1,1,0.5,0.5,81.4,85.3,0.2,0.1,1,0,6.42,6.39
114,185,318,Dominic Oduro,Dominic Oduro,MTL,MTL,F,F,235000.0,330000.0,235000.0,330000.0,22,17,9,8,2031,1440,6,1,6,0,2,1,0,0,1.1,1.0,77.2,76.9,0.6,0.3,0,0,6.69,6.29
115,163,282,Lawrence Olum,Lawrence Olum,KC,POR,M,M,105000.0,142500.0,115000.0,157500.0,17,22,2,8,1469,2103,2,1,1,0,3,3,0,0,0.5,0.3,82.0,88.1,1.5,0.8,0,0,6.74,6.45
116,172,36,Ike Opara,Ike Opara,KC,KC,D,D,125000.0,150000.0,131250.0,150000.0,16,30,9,0,1544,2700,1,3,2,0,3,3,1,0,0.6,0.6,78.2,86.2,1.6,1.8,0,4,6.72,7.1
117,206,281,Jonathan Osorio,Jonathan Osorio,TOR,TOR,M,M,166750.0,191762.5,174570.68,200237.13,26,9,4,18,2441,1062,2,2,2,1,2,1,0,0,0.8,0.6,87.0,89.4,0.1,0.1,0,0,6.66,6.45
118,146,204,David Ousted,David Ousted,VAN,VAN,GK,GK,360000.0,360000.0,378933.33,378933.33,33,28,0,0,2970,2453,0,0,0,0,0,2,0,1,0.0,0.0,52.4,59.0,0.4,0.3,4,0,6.76,6.66
119,168,163,Tim Parker,Tim Parker,VAN,VAN,D,D,66000.0,80850.0,84750.0,99600.0,28,32,1,0,2551,2880,0,1,0,1,1,4,0,0,0.4,0.6,77.4,79.7,2.5,2.3,0,1,6.73,6.74
120,260,190,Michael Parkhurst,Michael Parkhurst,CLB,ATL,D,D,275000.0,325008.0,300000.0,325008.0,34,33,0,0,3066,2906,0,0,2,0,2,4,1,0,0.0,0.0,84.5,86.0,0.6,0.4,1,0,6.5,6.69
121,5,4,Ignacio Piatti,Ignacio Piatti,MTL,MTL,M,M,425000.0,450000.0,425000.0,450000.0,31,26,1,2,2821,2370,17,17,4,5,5,3,0,0,3.0,2.7,82.5,76.4,0.0,0.1,4,7,7.36,7.45
122,104,75,Joao Plata,Joao Plata,RSL,RSL,F,F,175000.0,350000.04,175000.0,400000.04,28,27,2,2,2478,2320,9,7,8,4,4,1,0,0,2.6,3.3,81.7,79.7,0.1,0.2,1,2,6.85,6.95
123,81,56,Matt Polster,Matt Polster,CHI,CHI,D,M,84000.0,99900.0,99000.0,114900.0,24,21,3,1,2108,1769,2,1,1,5,5,3,0,0,0.7,0.4,81.3,85.0,1.3,1.1,1,0,6.89,7.01
124,31,81,Chris Pontius,Chris Pontius,PHI,PHI,M,M,380000.0,400000.0,411000.0,431000.0,32,27,1,3,2571,2255,12,2,4,6,2,0,0,0,2.0,1.4,77.7,72.6,3.0,3.8,3,1,7.09,6.93
125,56,93,Alvas Powell,Alvas Powell,POR,POR,D,D,95000.0,115000.0,103700.0,123700.0,23,19,0,4,2016,1690,0,2,1,2,4,3,0,0,0.3,0.6,69.4,75.7,1.3,1.2,1,1,6.98,6.9
126,228,272,Tommy Redding,Tommy Redding,ORL,ORL,D,D,95000.0,110000.0,102500.0,117500.0,16,14,2,4,1348,1406,0,0,0,0,2,3,0,0,0.0,0.1,84.6,83.0,0.7,0.9,0,0,6.59,6.49
127,178,197,Nick Rimando,Nick Rimando,RSL,RSL,GK,GK,400000.0,450000.0,420000.0,470000.0,30,28,0,0,2700,2488,0,0,0,0,1,1,0,0,0.0,0.0,57.6,62.5,0.2,0.1,1,1,6.71,6.68
128,259,261,Carlos Rivas,Carlos Rivas,ORL,ORL,M,M,80000.0,375000.0,80000.0,375000.0,8,21,13,9,800,1962,3,5,3,2,6,3,0,0,1.6,2.5,71.4,68.2,0.1,0.1,1,0,6.5,6.52
129,165,210,Luis Robles,Luis Robles,NYRB,NYRB,GK,GK,265000.0,290000.0,267500.0,292500.0,34,34,0,0,3060,3060,0,0,0,0,3,4,0,0,0.0,0.0,56.5,62.7,0.2,0.3,0,0,6.73,6.64
130,98,6,Cristian Roldan,Cristian Roldan,SEA,SEA,M,M,95000.0,115000.0,117000.0,137000.0,28,33,5,0,2632,2960,4,6,2,2,2,3,0,0,0.9,1.2,83.3,84.0,1.2,1.1,2,4,6.86,7.4
131,33,27,Kelyn Rowe,Kelyn Rowe,NE,NE,M,M,160000.0,165000.0,241000.0,230000.0,32,21,1,2,2787,1898,5,1,6,6,2,3,0,0,2.0,1.5,73.6,74.3,0.8,1.0,3,0,7.08,7.15
132,150,255,Mohammed Saeid,Mohammed Saeid,CLB,COL,M,M,110000.0,160000.0,120000.0,170000.0,24,27,1,2,2017,2269,0,1,5,2,2,2,0,0,0.8,0.4,89.2,82.3,0.0,0.3,0,0,6.76,6.53
133,286,259,Michael Salazar,Michael Salazar,MTL,MTL,F,F,51492.0,54075.0,51492.0,54075.0,8,7,9,10,711,691,2,3,0,2,1,1,0,0,0.5,0.6,74.4,76.6,1.0,0.8,0,1,6.38,6.53
134,272,234,Shea Salinas,Shea Salinas,SJ,SJ,M,M,163125.0,185000.0,166458.33,185000.0,8,15,25,10,1226,1437,1,1,5,2,0,3,0,0,0.6,0.2,71.4,75.4,0.3,0.6,1,3,6.46,6.6
135,37,239,Marcelo Sarvas,Marcelo Sarvas,DC,DC,M,M,360000.0,360000.0,425000.0,425000.0,26,19,2,6,2247,1841,1,0,2,0,11,8,1,0,0.8,0.4,81.0,79.7,0.5,0.4,2,0,7.06,6.59
136,207,260,Brek Shea,Brek Shea,ORL,VAN,M,M,550000.0,625000.0,595000.0,670000.0,22,14,5,11,2004,1326,3,4,2,2,9,2,0,1,1.0,0.9,74.1,64.4,0.9,1.0,0,1,6.66,6.53
137,82,252,Axel Sjoberg,Axel Sjoberg,COL,COL,D,D,66000.0,108350.0,81000.0,123350.0,31,19,0,0,2772,1638,2,1,1,0,6,1,0,1,0.4,0.6,82.3,83.0,2.2,1.6,1,0,6.89,6.55
138,245,150,Luis Solignac,Luis Solignac,COL,CHI,F,F,85000.0,274999.92,85000.0,328312.42,12,26,6,7,1105,2156,3,7,0,4,0,1,0,0,1.4,1.4,73.2,77.1,0.8,0.9,0,0,6.56,6.77
139,123,85,Daniel Steres,Daniel Steres,LA,LA,D,D,62500.0,105000.0,65086.04,112062.6,29,21,2,0,2656,1843,1,3,1,0,5,1,0,0,0.3,0.8,83.6,85.4,2.0,2.1,0,1,6.81,6.92
140,143,224,Tony Tchani,Tony Tchani,CLB,VAN,M,M,250000.0,275000.0,283333.33,308333.33,20,26,1,1,1821,2122,1,4,2,1,8,4,1,2,1.3,0.8,83.9,80.2,1.0,0.8,0,2,6.77,6.61
141,244,122,Cristian Techera,Cristian Techera,VAN,VAN,M,M,320000.0,352000.0,345000.0,377000.0,19,24,10,5,1586,2045,2,6,1,4,3,1,0,0,1.5,1.9,74.1,70.6,0.1,0.2,0,3,6.56,6.84
142,254,262,Tommy Thompson,Tommy Thompson,SJ,SJ,M,M,150000.0,150000.0,155000.0,155000.0,9,16,8,16,826,1538,0,1,0,4,2,1,0,0,0.7,1.3,82.2,83.2,0.6,0.3,0,1,6.52,6.52
143,166,270,Chris Tierney,Chris Tierney,NE,NE,D,D,125000.0,140000.0,133333.33,148333.33,27,20,1,6,2321,1716,2,1,2,2,1,3,0,0,0.7,0.3,73.3,81.8,0.5,0.5,1,0,6.73,6.5
144,111,129,Donny Toia,Donny Toia,MTL,ORL,D,D,67500.0,70875.0,67500.0,70875.0,15,29,2,1,1366,2545,0,0,2,2,2,4,0,0,0.3,0.4,77.3,75.0,1.0,1.6,0,1,6.84,6.82
145,182,140,Wil Trapp,Wil Trapp,CLB,CLB,M,M,151250.0,300000.0,178250.0,350000.0,29,34,1,0,2573,3035,0,0,0,4,5,3,0,0,0.3,0.2,88.1,89.3,0.8,0.7,0,0,6.7,6.8
146,248,271,Victor Ulloa,Victor Ulloa,DAL,DAL,M,M,130000.0,150000.0,132500.0,152500.0,18,12,14,11,1642,1206,2,0,0,2,2,1,0,0,0.3,0.3,81.4,85.2,1.1,0.9,0,0,6.54,6.5
147,26,19,Maximiliano Urruti,Maximiliano Urruti,DAL,DAL,F,F,250000.0,300000.0,250000.0,300000.0,29,31,1,1,2484,2749,9,12,3,4,4,1,0,0,3.0,3.2,74.5,77.0,0.8,0.5,3,3,7.12,7.22
148,92,125,Zarek Valentin,Zarek Valentin,POR,POR,D,D,90000.0,110000.0,90000.0,110000.0,18,17,2,2,1608,1547,1,0,1,3,2,2,0,0,0.2,0.1,78.0,83.6,1.1,0.8,1,0,6.88,6.84
149,12,13,Diego Valeri,Diego Valeri,POR,POR,M,M,600000.0,2227500.0,550000.0,2607500.0,30,32,0,0,2640,2830,14,21,6,9,1,4,1,0,3.7,2.9,74.9,79.0,0.7,0.6,4,3,7.22,7.26
150,293,312,Johan Venegas,Johan Venegas,MTL,MNUFC,M,M,200000.0,215000.0,212500.0,227500.0,7,12,13,10,683,1229,1,2,1,5,2,4,0,0,0.8,1.5,73.0,76.0,0.2,0.5,0,0,6.3,6.34
151,285,279,Gonzalo Veron,Gonzalo Veron,NYRB,NYRB,M,M,500000.0,500000.0,500000.0,500000.0,6,5,17,19,631,779,3,6,0,1,2,1,1,0,0.8,1.2,75.6,72.3,0.3,0.4,0,0,6.39,6.46
152,4,1,David Villa,David Villa,NYCFC,NYCFC,F,F,5610000.0,5610000.0,5610000.0,5610000.0,32,28,1,3,2899,2560,23,22,4,5,5,4,0,0,5.0,4.4,71.8,69.8,0.2,0.6,9,9,7.37,7.63
153,229,117,Brandon Vincent,Brandon Vincent,CHI,CHI,D,D,70000.0,96250.0,91875.0,118125.0,24,26,2,1,2191,2341,0,2,2,4,1,3,0,0,0.3,0.7,66.5,79.0,1.3,1.5,0,0,6.59,6.86
154,227,313,Collen Warner,Collen Warner,HOU,MNUFC,M,M,149934.0,230004.0,177434.0,230004.0,24,12,0,13,1979,1283,0,1,0,0,2,6,0,0,0.5,0.3,83.7,81.3,0.8,0.8,0,0,6.59,6.33
155,97,52,Kendall Waston,Kendall Waston,VAN,VAN,D,D,300000.0,350000.0,318125.0,368125.0,26,25,0,0,2267,2250,3,4,1,1,7,7,3,0,0.8,0.8,77.6,71.9,2.7,2.2,1,1,6.87,7.02
156,186,321,Je-Vaughn Watson,Je-Vaughn Watson,NE,NE,D,D,110004.0,150000.0,115837.33,155666.67,19,8,4,10,1705,766,1,0,1,0,3,4,1,1,0.5,0.3,80.6,83.5,0.6,0.6,0,0,6.69,6.2
157,151,301,Jared Watts,Jared Watts,COL,COL,D,D,68000.0,75000.0,68000.0,75000.0,18,18,3,2,1647,1490,0,0,0,1,5,4,0,2,0.4,0.2,81.4,82.2,1.1,0.6,1,1,6.75,6.38
158,183,249,Andrew Wenger,Andrew Wenger,HOU,HOU,M,M,190000.0,210000.0,190000.0,210000.0,24,12,8,10,2064,1113,6,2,2,2,3,2,0,0,1.4,1.0,66.4,57.1,1.2,1.0,2,0,6.7,6.56
159,118,229,Mekeil Williams,Mekeil Williams,COL,COL,D,D,85000.0,110000.0,85000.0,115000.0,17,16,4,1,1470,1398,0,0,2,1,5,6,0,1,0.1,0.2,77.6,71.2,1.2,1.4,2,0,6.83,6.6
160,251,300,Chris Wingert,Chris Wingert,RSL,RSL,D,D,235000.0,134004.0,235000.0,145394.0,18,20,2,3,1514,1756,0,1,0,0,5,5,0,0,0.3,0.3,74.0,73.5,1.2,1.3,0,0,6.53,6.39
161,87,95,Chris Wondolowski,Chris Wondolowski,SJ,SJ,F,F,650000.0,800000.0,700000.0,800000.0,30,34,0,0,2697,3041,12,13,3,8,0,3,0,0,2.6,2.3,73.0,78.4,1.4,1.0,0,2,6.88,6.9
162,9,47,Bradley Wright-Phillips,Bradley Wright-Phillips,NYRB,NYRB,F,F,650000.0,1500000.0,710000.0,1635000.0,32,29,2,3,2762,2561,24,17,4,1,3,6,0,0,3.1,2.6,69.9,66.3,1.4,1.5,9,1,7.28,7.04
163,7,244,Gyasi Zardes,Gyasi Zardes,LA,LA,F,F,472500.0,577500.0,472500.0,577500.0,17,23,2,1,1604,1987,6,2,5,2,1,3,0,0,1.3,1.2,71.1,76.2,2.2,1.8,3,0,7.29,6.58
164,6,135,Walker Zimmerman,Walker Zimmerman,DAL,DAL,D,D,174000.0,205000.0,174000.0,205000.0,30,18,0,4,2700,1602,4,1,0,1,4,0,0,0,0.9,0.4,78.4,79.0,3.3,2.9,4,1,7.3,6.81
165,149,213,Sal Zizzo,Sal Zizzo,NYRB,NYRB,D,M,105000.0,110000.0,105000.0,110000.0,20,18,8,5,1921,1647,0,0,1,2,2,4,0,1,0.6,0.3,74.9,75.8,1.1,1.0,0,0,6.76,6.64
166,53,9,Graham Zusi,Graham Zusi,KC,KC,F,M,700000.0,725000.0,732102.27,757102.27,18,23,3,1,1652,2115,2,0,2,6,1,3,0,1,1.4,1.5,80.8,86.6,0.4,0.7,1,1,6.98,7.31
