,R1,R2,Name1,Name2,Club1,Club2,Pos1,Pos2,BaseSalary1,BaseSalary2,Compensation1,Compensation2,Apps1,Apps2,SubApps1,SubApps2,Mins1,Mins2,Goals1,Goals2,Assists1,Assists2,Yel1,Yel2,Red1,Red2,SpG1,SpG2,PS1,PS2,AerialsWon1,AerialsWon2,MotM1,MotM2,Rating1,Rating2
24,134,169,Christian Bolanos,Christian Bolanos,VAN,VAN,M,M,250000.0,250000.0,253500.0,253500.0,23,18,4,3,2116,1629,5,0,7,5,2,0,0,1,1.3,1.4,80.7,73.7,0.4,0.2,0,1,6.78,6.73
25,8,55,Michael Bradley,Michael Bradley,TOR,TOR,M,M,6000000.0,6000000.0,6500000.0,6500000.0,24,30,0,0,2160,2700,1,0,4,2,5,8,0,0,0.5,0.4,83.6,88.2,0.4,0.2,1,0,7.28,7.01
26,273,188,Will Bruin,Will Bruin,HOU,SEA,F,F,310000.0,325000.0,311666.67,326666.67,18,20,13,11,1556,1824,4,11,2,2,1,1,0,0,1.9,1.7,70.0,69.2,1.0,1.2,0,1,6.44,6.69
27,269,242,Teal Bunbury,Teal Bunbury,NE,NE,F,F,205000.0,215000.0,250000.0,260000.0,19,13,8,15,1667,1280,2,7,2,1,5,1,0,0,1.8,1.6,71.8,77.7,1.4,0.5,0,1,6.47,6.58
28,258,246,Evan Bush,Evan Bush,MTL,MTL,GK,GK,117500.0,136750.0,117500.0,136750.0,33,31,0,0,2931,2790,0,0,0,0,3,3,1,0,0.0,0.0,55.9,65.2,0.2,0.5,1,0,6.5,6.57
29,23,138,Victor Cabrera,Victor Cabrera,MTL,MTL,D,D,250000.0,260000.0,250000.0,260000.0,21,18,2,2,1927,1497,0,0,0,0,6,6,0,1,0.0,0.2,81.1,82.0,0.9,1.1,4,0,7.12,6.81
30,209,226,Scott Caldwell,Scott Caldwell,NE,NE,M,M,100000.0,115000.0,110000.0,125000.0,31,26,1,7,2623,2196,0,1,2,2,6,2,0,0,0.3,0.3,86.8,87.1,0.3,0.2,0,0,6.65,6.61
31,48,251,Hassoun Camara,Hassoun Camara,MTL,MTL,D,D,180000.0,255000.0,180000.0,255000.0,26,16,1,2,2249,1351,2,0,2,0,6,3,0,1,0.7,0.6,76.7,77.8,2.1,1.9,2,0,7.0,6.55
32,72,298,Jonathan Campbell,Jonathan Campbell,CHI,CHI,D,D,70000.0,101750.0,78125.0,109875.0,30,8,3,16,2823,1012,1,0,1,0,1,2,0,0,0.3,0.0,79.6,84.2,1.3,0.8,0,0,6.92,6.4
33,139,79,Diego Chara,Diego Chara,POR,POR,M,M,150000.0,500000.0,172000.0,522000.0,30,29,0,0,2601,2530,0,1,1,1,9,8,1,1,0.3,0.2,84.7,89.0,0.2,0.6,0,0,6.78,6.94
