,R,Name,Club,Pos,BaseSalary,Compensation,Apps,SubApps,Mins,Goals,Assists,Yel,Red,SpG,PS,AerialsWon,MotM,Rating
0,142,Saad Abdul-Salaam,KC,D,63000.0,76750.0,26,4,2377,0,3,1,0,0.5,79.8,1.3,1,6.77
1,30,David Accam,CHI,F,700000.0,770937.5,21,3,1937,9,2,4,0,3.0,72.5,0.3,5,7.09
2,159,Kellyn Acosta,DAL,M,220000.0,240000.0,24,8,2328,2,3,4,0,1.1,79.8,1.0,0,6.75
3,54,Luciano Acosta,DC,M,327272.76,429272.76,25,6,2111,3,8,9,0,1.6,74.8,0.3,2,6.98
4,96,Fanendo Adi,POR,F,640000.0,712500.0,30,3,2650,16,0,7,0,2.7,65.1,1.9,5,6.87
5,35,Harrison Afful,CLB,D,275000.0,291666.67,30,0,2597,3,3,1,1,1.3,80.7,0.6,1,7.06
6,62,Juan Agudelo,NE,F,425000.0,452500.0,14,10,1349,7,4,5,0,2.2,80.1,1.6,2,6.96
7,195,Fraser Aird,VAN,D,51500.0,58625.0,16,2,1455,0,0,3,1,0.3,73.5,0.3,0,6.68
8,253,Tesho Akindele,DAL,M,90000.0,107500.0,15,16,1516,6,4,2,0,1.1,75.1,0.9,1,6.52
9,219,Fatai Alashe,SJ,M,74250.0,90500.0,27,1,2336,3,1,8,0,0.7,81.5,0.6,2,6.62
10,256,Roland Alberg,PHI,M,328000.0,377250.0,13,15,1155,9,1,1,1,1.7,84.8,0.3,1,6.51
11,99,RJ Allen,NYCFC,D,63000.0,63000.0,19,5,1752,1,5,7,0,0.2,75.7,0.9,1,6.86
12,263,Jordan Allen,RSL,M,100000.0,110000.0,11,12,1103,3,1,1,0,0.7,81.9,0.3,0,6.49
13,2,Osvaldo Alonso,SEA,M,900000.0,941667.0,32,0,2826,3,3,7,1,1.3,90.9,1.0,6,7.51
14,265,Kevin Alston,ORL,D,130000.0,130000.0,21,3,1989,0,0,3,0,0.2,81.7,0.4,0,6.49
15,40,Jozy Altidore,TOR,F,4825000.0,4825000.0,16,7,1489,10,3,4,0,1.9,69.4,1.5,4,7.06
16,105,Arturo Alvarez,CHI,F,115000.0,118264.0,24,6,1927,5,9,2,0,1.3,71.7,0.1,2,6.85
17,203,Quincy Amarikwa,SJ,F,247000.0,260666.67,22,1,1699,3,2,0,0,2.2,68.0,1.1,2,6.66
18,135,Jalil Anibaba,HOU,M,62500.0,62500.0,28,2,2614,0,1,4,0,0.4,72.1,1.8,2,6.78
19,262,Corey Ashe,CLB,D,95000.0,105500.0,14,4,1214,0,1,1,0,0.2,81.6,0.2,0,6.49
20,220,Dominique Badji,COL,F,53472.0,53472.0,17,10,1573,6,2,5,0,1.7,72.8,1.3,1,6.62
21,267,Julio Baptista,ORL,M,90000.0,90000.0,5,18,732,6,1,1,0,1.2,77.0,0.4,0,6.48
22,298,Jack Barmby,POR,M,72000.0,73800.0,2,17,382,1,0,1,0,0.6,77.0,0.1,1,6.25
23,43,Tranquillo Barnetta,PHI,M,650000.0,687500.0,25,4,2312,5,4,8,0,2.1,76.0,0.4,2,7.02
24,296,Chad Barrett,SJ,F,90000.0,95500.0,3,17,532,2,1,1,0,0.9,68.6,0.6,1,6.27
25,114,Michael Barrios,DAL,M,70000.0,70000.0,30,2,2454,9,2,3,0,1.6,78.4,0.2,1,6.84
26,91,DaMarcus Beasley,HOU,D,750000.0,813333.33,24,0,1980,1,0,1,0,0.2,81.6,1.0,3,6.88
27,128,Kyle Beckerman,RSL,M,675000.0,750000.0,27,0,2367,0,1,8,1,1.6,82.5,0.4,0,6.8
28,160,Steven Beitashour,TOR,D,230000.0,244000.0,29,0,2563,0,0,5,0,0.1,76.1,0.5,0,6.74
29,282,Kyle Bekker,MTL,M,67941.5,94191.5,13,5,1139,1,0,3,0,0.6,86.5,0.3,0,6.4
30,133,Joe Bendik,ORL,GK,140000.0,147666.67,34,0,3060,0,0,2,0,0.0,58.0,0.2,1,6.79
31,90,Victor Bernardez,SJ,D,210000.0,251600.0,33,0,2835,1,0,5,0,0.4,76.3,1.5,1,6.88
32,270,Patrice Bernier,MTL,M,95000.0,140000.0,13,7,1186,0,1,4,0,0.3,85.1,0.4,0,6.47
33,113,Matt Besler,KC,D,700000.0,733250.0,17,1,1546,1,0,4,0,0.2,83.0,1.4,0,6.84
34,102,David Bingham,SJ,GK,145000.0,152750.0,34,0,3015,0,0,2,0,0.0,50.7,0.6,1,6.85
35,156,Andre Blake,PHI,GK,100000.0,138000.0,32,0,2880,0,0,0,0,0.0,55.3,0.6,0,6.75
36,173,Emmanuel Boateng,LA,F,100000.0,100000.0,17,9,1547,2,5,1,0,0.8,75.6,0.2,1,6.71
37,243,Luke Boden,ORL,D,82500.0,82500.0,19,1,1614,0,2,2,0,0.3,80.5,0.6,0,6.56
38,134,Christian Bolanos,VAN,M,250000.0,253500.0,23,4,2116,5,7,2,0,1.3,80.7,0.4,0,6.78
39,162,Nat Borchers,POR,D,245000.0,255000.0,21,0,1814,1,1,1,0,0.2,81.8,1.6,0,6.74
40,129,Bobby Boswell,DC,D,260000.0,260000.0,29,1,2632,2,1,3,0,0.5,70.3,1.8,0,6.8
41,8,Michael Bradley,TOR,M,6000000.0,6500000.0,24,0,2160,1,4,5,0,0.5,83.6,0.4,1,7.28
42,202,Federico Bravo,NYCFC,D,110000.0,110000.0,11,10,1096,0,0,8,1,0.3,78.3,1.7,0,6.66
43,84,Frederic Brillant,NYCFC,D,260000.0,299666.67,31,0,2820,1,0,4,0,0.4,83.6,2.4,1,6.88
44,273,Will Bruin,HOU,F,310000.0,311666.67,18,13,1556,4,2,1,0,1.9,70.0,1.0,0,6.44
45,264,Julian Buescher,DC,M,70000.0,79700.0,3,17,586,1,4,3,0,0.4,73.2,0.2,0,6.49
46,269,Teal Bunbury,NE,F,205000.0,250000.0,19,8,1667,2,2,5,0,1.8,71.8,1.4,0,6.47
