,R,Name,Club,Pos,BaseSalary,Compensation,Apps,SubApps,Mins,Goals,Assists,Yel,Red,SpG,PS,AerialsWon,MotM,Rating
47,85,Marc Burch,COL,D,120000.0,120000.0,27,1,2443,0,3,9,0,0.1,78.3,0.6,1,6.88
48,258,Evan Bush,MTL,GK,117500.0,117500.0,33,0,2931,0,0,3,1,0.0,55.9,0.2,1,6.5
49,23,Victor Cabrera,MTL,D,250000.0,250000.0,21,2,1927,0,0,6,0,0.0,81.1,0.9,4,7.12
50,209,Scott Caldwell,NE,M,100000.0,110000.0,31,1,2623,0,2,6,0,0.3,86.8,0.3,0,6.65
51,48,Hassoun Camara,MTL,D,180000.0,180000.0,26,1,2249,2,2,6,0,0.7,76.7,2.1,2,7.0
52,72,Jonathan Campbell,CHI,D,70000.0,78125.0,30,3,2823,1,1,1,0,0.3,79.6,1.3,0,6.92
53,232,Servando Carrasco,ORL,M,95000.0,99625.0,21,10,2001,0,1,5,0,0.4,84.2,0.5,0,6.58
54,217,Brian Carroll,PHI,M,120000.0,120000.0,23,3,2094,1,0,6,0,0.5,82.2,0.5,0,6.64
55,64,Fabian Castillo,DAL,M,155750.0,170750.0,20,2,1752,5,5,1,0,2.0,68.5,0.2,1,6.95
56,250,Cordell Cato,SJ,M,112500.0,114166.67,15,6,1391,0,2,0,0,0.4,77.6,0.3,0,6.54
57,225,Jay Chapman,TOR,M,75000.0,93500.0,9,9,783,0,2,1,0,0.7,78.9,0.9,0,6.6
58,139,Diego Chara,POR,M,150000.0,172000.0,30,0,2601,0,1,9,1,0.3,84.7,0.2,0,6.78
59,42,Laurent Ciman,MTL,D,630000.0,661666.67,28,0,2484,0,0,3,0,0.6,80.7,1.4,2,7.02
60,109,Steve Clark,CLB,GK,220000.0,238333.33,32,0,2910,0,0,1,0,0.0,72.8,0.3,0,6.84
61,78,Ricardo Clark,HOU,M,319200.0,356700.0,29,3,2551,4,2,4,0,1.3,82.1,1.3,1,6.91
62,57,Razvan Cocis,CHI,M,160000.0,160000.0,19,11,1902,5,2,4,0,0.9,76.2,1.5,2,6.98
63,107,Nuno Coelho,KC,D,275000.0,375000.0,20,2,1620,1,1,2,0,0.8,81.0,1.1,0,6.85
64,147,Ashley Cole,LA,D,300000.0,327625.0,25,1,2228,1,0,2,2,0.3,85.7,0.8,0,6.76
65,15,Aurelien Collin,NYRB,D,500000.0,525000.0,21,2,1934,0,2,7,1,0.4,73.1,3.7,2,7.19
66,94,Warren Creavalle,PHI,M,118000.0,125666.67,21,6,1810,0,1,5,1,0.1,79.5,0.9,1,6.87
67,131,Sam Cronin,COL,M,225000.0,227500.0,33,0,2924,1,1,6,0,0.8,82.1,0.9,1,6.79
68,240,Brad Davis,KC,M,355000.0,355000.0,14,10,1300,2,1,0,0,1.4,83.7,0.3,1,6.57
69,176,Sean Davis,NYRB,M,90000.0,107500.0,11,10,1108,2,2,0,0,0.6,82.6,0.4,2,6.71
70,170,Simon Dawkins,SJ,M,800000.0,800000.0,28,1,2408,5,0,3,1,2.2,82.5,0.3,2,6.72
71,205,Nick DeLeon,DC,M,235000.0,235000.0,27,5,2509,1,0,5,0,1.1,84.6,0.5,0,6.66
72,136,Marco Delgado,TOR,M,100000.0,102500.0,23,5,1997,2,2,5,0,0.6,81.0,0.5,1,6.78
73,50,Clint Dempsey,SEA,F,3913008.0,4605941.5,17,0,1430,8,1,1,1,3.8,82.4,1.4,1,6.99
74,10,Mauro Diaz,DAL,M,466000.0,544400.0,24,3,2149,5,10,3,0,1.7,77.3,0.2,4,7.26
75,218,Marco Donadel,MTL,M,350000.0,386666.67,18,3,1515,0,3,5,0,0.4,82.0,0.8,0,6.63
76,65,Kevin Doyle,COL,F,1075000.0,1120000.0,24,2,2182,6,2,5,0,2.8,72.5,3.0,3,6.95
77,41,Didier Drogba,MTL,F,1666667.0,2166667.0,18,4,1650,10,3,5,1,4.1,60.4,2.1,3,7.05
78,137,Chris Duvall,NYRB,D,63000.0,63000.0,20,5,1889,0,1,4,1,0.4,72.2,1.0,1,6.78
79,230,Tsubasa Endoh,TOR,F,51500.0,51500.0,15,6,1388,2,0,0,0,1.1,82.6,0.2,0,6.58
80,29,Roger Espinoza,KC,M,800000.0,800000.0,30,0,2681,1,5,10,2,1.6,79.8,1.9,2,7.1
81,145,Brad Evans,SEA,M,276665.0,302666.25,21,2,1867,1,1,0,2,0.4,89.0,1.3,0,6.76
82,190,Diego Fagundez,NE,F,145000.0,165000.0,24,10,2240,6,5,4,0,1.9,82.0,0.4,2,6.68
83,88,Andrew Farrell,NE,D,148500.0,229500.0,32,1,2891,0,0,1,0,0.1,75.6,0.9,3,6.88
84,28,Benny Feilhaber,KC,M,400000.0,412187.5,28,2,2565,7,5,3,0,1.5,80.7,0.5,3,7.1
85,68,Maynor Figueroa,DAL,D,115000.0,138333.33,28,0,2434,0,1,7,1,0.8,75.8,1.7,0,6.94
86,231,Ethan Finlay,CLB,M,250000.0,250000.0,27,7,2494,6,6,2,0,1.4,77.5,0.3,1,6.58
87,242,Waylon Francis,CLB,D,200000.0,200000.0,13,6,1234,0,3,2,0,0.3,81.2,0.8,0,6.56
88,181,Shaun Francis,SJ,D,95000.0,103333.33,17,1,1525,0,0,4,0,0.3,74.9,0.9,0,6.7
89,201,Sean Franklin,DC,D,225000.0,256666.67,29,0,2496,1,1,5,0,0.2,76.6,0.7,0,6.66
90,214,Stefan Frei,SEA,GK,200000.0,206250.0,33,0,2970,0,0,0,0,0.0,53.7,0.3,0,6.64
91,261,Erik Friberg,SEA,M,240000.0,262500.0,18,7,1584,0,1,4,0,0.5,85.7,0.2,1,6.5
92,171,Boniek Garcia,HOU,M,225000.0,247500.0,24,7,2250,0,8,4,0,0.8,82.3,0.5,0,6.72
93,294,Olmes Garcia,RSL,F,160000.0,160000.0,9,15,965,1,1,2,0,0.8,65.7,1.3,0,6.29
94,13,Shkelzen Gashi,COL,M,1575000.0,1668750.0,25,1,2125,9,3,4,0,3.5,75.7,0.9,4,7.22
95,18,Steven Gerrard,LA,M,6000000.0,6132500.0,18,3,1492,3,9,2,0,1.5,81.0,0.4,2,7.17
96,1,Sebastian Giovinco,TOR,F,5600000.0,7115555.67,28,0,2418,17,14,3,0,6.3,72.5,0.1,10,7.76
97,119,Justen Glad,RSL,D,100000.0,111000.0,27,1,2424,2,1,4,0,0.1,84.0,1.0,0,6.83
98,69,Jake Gleeson,POR,GK,91556.0,96722.67,27,1,2470,0,0,1,0,0.0,47.6,0.3,0,6.94
99,55,Anibal Godoy,SJ,M,216000.0,242250.0,23,0,1941,1,2,6,2,1.2,89.4,1.0,3,6.98
100,299,Herculez Gomez,SEA,F,312000.0,333000.0,9,12,844,0,0,1,0,0.7,81.9,0.7,0,6.24
101,216,Jose Goncalves,NE,D,450000.0,479375.0,28,0,2520,0,0,3,0,0.1,76.6,1.5,0,6.64
102,233,John Goossens,CHI,M,200000.0,200000.0,15,9,1292,3,4,0,0,1.3,75.6,0.0,1,6.58
103,279,Alan Gordon,LA,F,170000.0,170000.0,7,15,711,3,1,2,0,0.7,73.4,1.9,0,6.42
104,295,Ned Grabavoy,POR,M,150000.0,150000.0,5,17,634,0,0,3,0,0.5,88.7,0.5,0,6.27
105,80,Mike Grella,NYRB,F,155000.0,155000.0,28,4,2410,7,5,7,0,1.3,77.1,0.5,1,6.9
106,93,Carlos Gruezo,DAL,M,450000.0,686500.0,26,1,2240,0,0,9,0,0.9,81.7,0.8,0,6.87
107,155,Marlon Hairston,COL,D,90000.0,113000.0,14,7,1274,3,5,2,0,0.8,78.5,0.3,2,6.75
108,281,Connor Hallisey,KC,M,63000.0,76750.0,12,5,1075,0,1,0,0,1.1,79.3,0.3,0,6.41
109,115,Bill Hamid,DC,GK,325000.0,370500.0,20,0,1800,0,0,0,0,0.1,48.0,0.5,2,6.84
110,292,Michael Harrington,CHI,D,125000.0,125000.0,16,3,1292,0,1,0,1,0.1,72.3,0.4,0,6.31
111,89,Atiba Harris,DAL,D,143000.0,143000.0,22,6,1971,1,2,6,0,0.6,73.5,2.1,1,6.88
112,59,Jack Harrison,NYCFC,M,125000.0,160500.0,17,4,1604,4,6,0,0,1.0,73.6,0.3,1,6.97
113,157,Jordan Harvey,VAN,D,165000.0,165000.0,28,0,2520,2,0,2,0,0.4,76.9,1.3,0,6.75
114,27,Matt Hedges,DAL,D,152000.0,152000.0,26,0,2334,1,0,5,0,0.4,81.0,2.2,1,7.11
115,277,Fabian Herbers,PHI,M,100000.0,125500.0,13,19,1293,3,6,3,0,1.0,74.4,0.6,0,6.42
116,226,Jason Hernandez,NYCFC,D,200000.0,210000.0,26,5,2293,0,0,1,1,0.0,83.5,0.9,0,6.59
117,66,Federico Higuain,CLB,M,1175000.0,1175000.0,18,2,1610,4,2,0,0,2.3,79.3,0.2,0,6.94
118,108,Cristian Higuita,ORL,M,80000.0,80000.0,16,5,1513,1,1,9,1,0.5,84.4,0.8,0,6.84
119,297,Femi Hollinger,NE,F,51500.04,51500.04,1,18,276,2,1,0,0,0.5,71.6,0.7,0,6.26
120,47,Ryan Hollingshead,DAL,M,122500.0,122500.0,22,7,2026,2,0,3,0,0.8,73.8,2.4,1,7.01
121,191,David Horst,HOU,D,88593.75,91343.75,24,2,2212,3,0,4,0,0.8,74.0,1.8,0,6.68
122,154,Tim Howard,COL,GK,2100000.0,2575000.0,17,0,1530,0,0,1,0,0.0,71.1,0.0,1,6.75
123,289,Erik Hurtado,VAN,F,86091.5,121091.5,12,12,1230,2,1,2,0,1.4,77.0,0.5,1,6.36
124,238,Baggio Husidic,LA,M,150000.0,150000.0,16,13,1556,2,2,2,0,0.4,84.6,0.4,0,6.57
125,212,Kennedy Igboananike,CHI,F,800000.0,901666.67,18,0,1519,4,1,2,0,2.7,79.2,0.7,0,6.65
126,223,Ilsinho,PHI,M,430000.0,478333.33,14,11,1286,2,2,2,1,1.2,77.9,0.4,1,6.6
127,175,Andoni Iraola,NYCFC,D,200004.0,200004.0,25,4,2211,0,1,3,0,0.1,86.7,0.6,0,6.71
128,197,Clint Irwin,TOR,GK,95000.0,107000.0,19,0,1690,0,0,1,0,0.0,49.5,0.4,1,6.67
129,125,Andreas Ivanschitz,SEA,M,250000.0,271250.0,25,3,1910,3,7,5,0,1.3,76.6,0.2,1,6.81
130,188,Andrew Jacobson,VAN,M,62500.08,87500.08,18,8,1751,2,0,4,0,0.6,82.0,1.2,1,6.69
131,169,Jared Jeffrey,DC,M,71662.5,77862.5,14,7,1314,2,0,5,0,1.1,81.8,0.4,0,6.72
132,247,Jack Jewsbury,POR,D,140000.0,147000.0,17,6,1503,1,2,4,0,0.3,87.9,0.6,3,6.54
133,274,Hector Jimenez,CLB,M,105000.0,105000.0,14,11,1269,0,0,0,0,0.6,79.3,0.5,0,6.43
134,193,Sean Johnson,CHI,GK,250000.0,253000.0,22,0,1980,0,0,0,0,0.0,53.3,0.5,0,6.68
135,140,Will Johnson,TOR,M,375000.0,395333.33,19,4,1663,2,3,4,0,1.4,82.2,0.7,1,6.77
136,192,Joevin Jones,SEA,D,70000.0,76166.67,29,4,2547,2,3,6,0,0.5,83.8,0.3,1,6.68
137,14,Kaka,ORL,M,6660000.0,7167500.0,23,1,1957,9,9,2,0,2.6,80.2,0.4,4,7.21
138,44,Ola Kamara,CLB,F,425000.0,457500.0,20,5,1889,16,2,0,0,3.2,77.3,1.2,3,7.01
139,34,Kei Kamara,NE,F,1000000.0,1000000.0,21,0,1870,7,2,5,0,3.3,70.5,3.3,2,7.07
140,152,Johan Kappelhof,CHI,D,480000.0,520000.0,31,2,2789,0,0,3,0,0.1,75.5,0.7,0,6.75
141,121,Robbie Keane,LA,F,3500000.0,3500000.0,16,1,1428,10,1,1,0,2.4,77.1,0.2,1,6.83
142,38,Taylor Kemp,DC,D,100000.0,100000.0,30,1,2745,1,4,2,0,0.7,66.1,1.2,1,7.06
143,3,Sacha Kljestan,NYRB,M,550000.0,687500.0,30,2,2625,6,16,3,0,1.3,74.8,1.7,2,7.42
144,300,Daigo Kobayashi,NE,M,120000.0,132000.0,6,21,701,1,0,0,0,0.5,82.6,0.1,0,6.22
145,120,Gershon Koffie,NE,M,250000.0,261000.0,19,3,1545,0,3,8,1,0.8,82.5,1.0,1,6.83
146,288,Masato Kudo,VAN,F,310000.0,314000.0,12,5,894,2,1,0,0,1.5,77.1,0.3,0,6.37
147,106,Matias Laba,VAN,M,560000.0,720500.0,32,0,2729,0,0,5,1,0.3,85.2,1.2,0,6.85
148,86,Connor Lade,NYRB,D,62500.0,65312.5,15,3,1380,1,1,4,0,0.8,74.1,0.8,1,6.88
149,45,Frank Lampard,NYCFC,M,6000000.0,6000000.0,15,4,1311,12,2,3,0,1.7,79.3,0.3,1,7.01
150,234,Jeff Larentowicz,LA,M,175000.0,175000.0,17,6,1496,1,0,5,0,0.5,83.6,1.4,0,6.57
151,112,Cyle Larin,ORL,F,135000.0,177000.0,29,3,2456,14,3,0,0,2.3,73.4,1.3,2,6.84
152,177,Kemar Lawrence,NYRB,D,100000.0,196000.0,21,0,1801,0,0,3,0,0.3,67.4,1.2,0,6.71
153,127,Sebastian Lletget,LA,M,110000.0,115500.0,23,8,2057,1,4,1,0,0.9,87.0,0.7,0,6.8
154,236,Zac MacMath,COL,GK,140000.0,140000.0,18,0,1531,0,0,3,0,0.0,60.8,0.6,0,6.57
155,222,Mike Magee,LA,F,250000.0,250000.0,16,14,1469,6,2,1,0,1.1,82.7,0.1,1,6.62
156,237,Cristian Maidana,HOU,M,223850.0,237600.0,21,9,1695,3,3,1,0,0.7,82.3,0.3,0,6.57
157,283,Calum Mallace,MTL,M,100000.0,116250.0,10,8,864,0,0,3,1,0.3,85.0,0.7,0,6.4
158,122,Kekuta Manneh,VAN,M,127500.0,157000.0,13,4,1140,5,2,1,0,2.1,72.1,0.5,1,6.82
159,257,Mauro Manotas,HOU,F,85000.0,85000.0,10,12,1055,6,1,0,0,1.9,79.6,0.2,1,6.5
160,60,Chad Marshall,SEA,D,325000.0,341666.67,30,0,2634,4,0,2,0,0.7,84.9,2.1,3,6.97
161,16,Ronald Matarrita,NYCFC,D,150000.0,175000.0,23,2,2020,1,2,4,0,1.0,76.9,0.7,3,7.18
162,208,David Mateos,ORL,D,420000.0,453333.33,20,1,1760,0,0,8,1,0.4,83.9,1.7,1,6.65
163,246,Darren Mattocks,POR,F,215000.0,231666.67,12,7,941,1,2,0,0,1.1,71.6,0.8,1,6.55
164,58,Aaron Maund,RSL,D,85000.0,88449.5,20,0,1746,0,0,4,0,0.3,79.5,2.1,2,6.97
165,22,Dax McCarty,NYRB,M,400000.0,500000.0,26,1,2269,3,1,3,0,0.9,81.6,1.4,1,7.13
166,284,Jack McInerney,POR,F,270000.0,270000.0,8,16,908,5,0,1,0,1.5,80.7,0.4,0,6.4
167,101,Thomas McNamara,NYCFC,M,73500.0,85000.0,28,2,2260,5,9,5,0,1.3,81.5,0.2,1,6.86
168,221,Tyrone Mears,SEA,D,175000.0,184000.0,32,0,2836,0,1,3,0,0.1,82.1,0.9,0,6.62
169,75,Jimmy Medranda,KC,M,63000.0,63000.0,22,6,1939,1,1,7,1,1.5,74.0,0.2,2,6.91
170,200,Joao Meira,CHI,D,110000.0,126500.0,26,2,2284,0,0,6,0,0.2,85.1,1.5,0,6.67
171,215,Lucas Melano,POR,F,760000.0,760000.0,27,4,2269,3,5,1,0,1.4,75.1,0.3,0,6.64
172,241,Tim Melia,KC,GK,150000.0,152500.0,27,0,2430,0,0,3,0,0.0,52.2,0.3,2,6.57
173,164,Stiven Mendoza,NYCFC,F,207276.0,207276.0,10,14,1169,5,0,1,0,1.9,75.7,0.1,0,6.74
174,11,Justin Meram,CLB,F,175000.0,185000.0,31,2,2605,5,10,3,0,2.3,72.5,0.7,5,7.23
175,278,Nicolas Mezquida,VAN,M,88000.0,88000.0,17,11,1396,4,1,1,0,1.8,72.7,0.2,0,6.42
176,199,Eric Miller,COL,M,66412.5,77412.5,23,3,2118,0,0,3,1,0.3,76.9,1.3,0,6.67
177,25,Kevin Molino,ORL,M,110000.0,121400.0,26,4,2318,11,8,1,0,2.0,80.1,0.2,4,7.12
178,71,Drew Moor,TOR,D,235000.0,250000.0,32,0,2880,3,0,3,0,0.7,86.0,1.7,2,6.92
179,116,Javier Morales,RSL,M,590000.0,590000.0,23,6,2184,4,3,5,0,1.3,85.4,0.1,2,6.83
180,100,Pedro Morales,VAN,M,1232500.0,1258900.0,26,1,2074,9,4,4,2,1.9,83.4,0.4,1,6.86
181,83,Jordan Morris,SEA,F,178000.0,190500.0,32,2,2858,12,3,0,0,2.1,77.5,1.8,2,6.88
182,70,Justin Morrow,TOR,D,200000.0,216666.67,31,0,2653,5,3,5,0,0.5,75.9,0.6,2,6.93
183,184,Yura Movsisyan,RSL,F,200000.0,200000.0,25,4,2166,9,3,3,0,2.3,66.7,0.4,1,6.7
184,224,Luke Mulholland,RSL,M,93500.0,94750.0,23,10,2028,4,2,7,0,1.3,79.8,0.6,0,6.6
185,138,Soni Mustivar,KC,M,200000.0,200000.0,24,1,2097,0,0,3,1,0.3,83.4,1.2,0,6.78
186,174,Alex Muyl,NYRB,F,62500.0,66500.0,18,9,1600,2,3,5,0,1.1,71.7,1.2,0,6.71
187,46,Darlington Nagbe,POR,M,500000.0,500000.0,27,0,2416,1,5,1,0,1.4,89.9,0.7,2,7.01
188,73,Lamar Neagle,DC,M,185000.0,187833.33,21,10,1950,9,5,2,0,1.6,69.3,1.9,1,6.91
189,77,Lee Nguyen,NE,M,500000.0,500000.0,33,0,2902,6,4,2,0,2.1,80.1,0.0,2,6.91
190,276,Antonio Nocerino,ORL,M,600000.0,650000.0,19,2,1512,0,0,3,1,0.5,81.4,0.2,1,6.42
191,20,Patrick Nyarko,DC,F,210000.0,225750.0,23,3,1829,4,4,2,0,0.9,71.8,1.2,2,7.14
192,185,Dominic Oduro,MTL,F,235000.0,235000.0,22,9,2031,6,6,2,0,1.1,77.2,0.6,0,6.69
193,24,Jamison Olave,RSL,D,215000.0,215000.0,16,1,1482,2,0,2,1,0.8,81.4,2.5,1,7.12
194,163,Lawrence Olum,KC,M,105000.0,115000.0,17,2,1469,2,1,3,0,0.5,82.0,1.5,0,6.74
195,252,Lucas Ontivero,MTL,M,380000.0,440000.0,12,9,980,2,2,4,0,1.4,75.4,0.2,0,6.52
196,172,Ike Opara,KC,D,125000.0,131250.0,16,9,1544,1,2,3,1,0.6,78.2,1.6,0,6.72
197,206,Jonathan Osorio,TOR,M,166750.0,174570.68,26,4,2441,2,2,2,0,0.8,87.0,0.1,0,6.66
198,146,David Ousted,VAN,GK,360000.0,378933.33,33,0,2970,0,0,0,0,0.0,52.4,0.4,4,6.76
199,52,Ambroise Oyongo,MTL,D,100000.0,100000.0,26,1,2316,0,4,4,1,0.6,74.7,0.4,1,6.98
200,196,Marco Pappa,COL,M,110000.0,110000.0,10,10,896,2,3,2,0,1.5,80.8,0.0,1,6.68
201,168,Tim Parker,VAN,D,66000.0,84750.0,28,1,2551,0,0,1,0,0.4,77.4,2.5,0,6.73
202,260,Michael Parkhurst,CLB,D,275000.0,300000.0,34,0,3066,0,2,2,1,0.0,84.5,0.6,1,6.5
203,287,Blas Perez,VAN,F,215000.0,215000.0,5,17,755,2,1,5,0,0.7,68.3,1.8,1,6.37
204,158,Jacob Peterson,KC,F,137750.0,144625.0,18,3,1500,6,1,0,0,1.8,75.0,0.8,2,6.75
205,148,Demar Phillips,RSL,D,127500.0,135333.33,23,6,2178,0,4,2,1,0.3,76.7,1.5,0,6.76
206,5,Ignacio Piatti,MTL,M,425000.0,425000.0,31,1,2821,17,4,5,0,3.0,82.5,0.0,4,7.36
207,49,Andrea Pirlo,NYCFC,M,5600000.0,5915690.0,32,0,2801,1,6,4,0,0.8,81.3,0.2,0,7.0
208,104,Joao Plata,RSL,F,175000.0,175000.0,28,2,2478,9,8,4,0,2.6,81.7,0.1,1,6.85
209,81,Matt Polster,CHI,D,84000.0,99000.0,24,3,2108,2,1,5,0,0.7,81.3,1.3,1,6.89
210,31,Chris Pontius,PHI,M,380000.0,411000.0,32,1,2571,12,4,2,0,2.0,77.7,3.0,3,7.09
211,56,Alvas Powell,POR,D,95000.0,103700.0,23,0,2016,0,1,4,0,0.3,69.4,1.3,1,6.98
212,210,Dillon Powers,COL,M,270000.0,300000.0,24,5,2122,1,4,4,0,1.2,82.4,0.6,0,6.65
213,74,Alberto Quintero,SJ,M,169992.0,190717.0,29,1,2231,3,4,4,1,0.9,81.7,0.3,2,6.91
214,79,Rodrigo Ramos,CHI,D,80000.0,84000.0,16,5,1485,0,2,4,0,0.4,72.1,0.3,0,6.9
215,228,Tommy Redding,ORL,D,95000.0,102500.0,16,2,1348,0,0,2,0,0.0,84.6,0.7,0,6.59
216,255,Liam Ridgewell,POR,D,1100000.0,1250000.0,22,0,1980,1,0,6,0,0.5,80.4,1.3,1,6.51
217,178,Nick Rimando,RSL,GK,400000.0,420000.0,30,0,2700,0,0,1,0,0.0,57.6,0.2,1,6.71
218,259,Carlos Rivas,ORL,M,80000.0,80000.0,8,13,800,3,3,6,0,1.6,71.4,0.1,1,6.5
219,165,Luis Robles,NYRB,GK,265000.0,267500.0,34,0,3060,0,0,3,0,0.0,56.5,0.2,0,6.73
220,117,Raul Rodriguez,HOU,D,350000.0,379333.33,24,1,2128,1,0,3,0,0.5,76.5,1.1,1,6.83
221,36,Robbie Rogers,LA,D,220000.0,228500.0,19,2,1655,1,2,2,0,0.3,81.6,1.4,1,7.06
222,98,Cristian Roldan,SEA,M,95000.0,117000.0,28,5,2632,4,2,2,0,0.9,83.3,1.2,2,6.86
223,280,Mauro Rosales,DAL,M,62500.0,62500.0,4,19,546,2,3,2,0,0.3,71.5,0.2,0,6.41
