R	Player	Apps	Mins	Goals	Assists	Yel	Red	SpG	PS%	AeiralsWon	MotM	Rating
53	Alejandro BedoyaPhiladelphia Union, 30, M(CR),FW	28	2509	2	3	6	-	1.3	84.4	1.3	1	7.01
54	Gustav SvenssonSeattle Sounders FC, 31, D(C),DMC	30(2)	2646	1	3	1	-	0.5	86.5	1.5	1	7.01
55	Michael BradleyToronto FC, 30, M(C)	30	2700	-	2	8	-	0.4	88.2	0.2	-	7.01
56	Matt PolsterChicago Fire, 24, D(R),DMC	21(1)	1769	1	5	3	-	0.4	85	1.1	-	7.01
57	Matt HedgesFC Dallas, 28, D(C)	27	2425	2	-	7	-	0.9	84.5	1.9	1	7.01
58	Tyler AdamsNew York Red Bulls, 19, DMC,M(R)	22(2)	1995	2	3	2	-	0.5	80.6	0.8	2	7
59	Marco DelgadoToronto FC, 22, D(LR),M(CR)	25(1)	2072	3	2	1	1	0.7	85.2	0.8	-	7
60	Florian JungwirthSan Jose Earthquakes, 29, D(CR),DMC	30	2600	2	3	4	-	0.4	82.6	1.1	2	6.99
61	Oguchi OnyewuPhiladelphia Union, 35, D(C)	22	1929	1	-	6	-	0.6	79.7	1.9	-	6.98
62	Diego FagundezNew England Rev., 23, AM(CLR)	27(5)	2438	7	7	2	-	2.3	80.9	0.1	5	6.98
63	Michael MurilloNew York Red Bulls, 22, D(CR)	15(2)	1317	2	-	3	-	1	78.7	1.8	2	6.98
64	Ilie SanchezSporting Kansas City, 27, M(C)	33	2970	-	1	6	-	0.6	85.4	1.8	-	6.98
65	Greg GarzaAtlanta United, 26, D(L)	25(1)	2151	2	4	2	-	0.5	81.5	0.8	-	6.97
66	Luciano AcostaDC United, 23, AM(C),FW	30(1)	2422	5	4	4	2	1.5	75.7	0.3	2	6.97
67	Matt BeslerSporting Kansas City, 31, D(C)	26	2340	-	4	2	-	0.2	85.9	2.1	1	6.97
68	Juan CabezasHouston Dynamo, 27, DMC	26(1)	2232	1	-	7	-	0.7	86.4	0.9	1	6.97
69	Luke MulhollandReal Salt Lake, 29, DMC	22(5)	1950	3	2	4	-	1.6	75.7	0.9	-	6.97
70	Adolfo MachadoHouston Dynamo, 33, D(CR)	33	2970	-	2	5	-	0.3	77	1.6	1	6.96
71	Joevin JonesSeattle Sounders FC, 26, D(L),M(L)	28(2)	2451	1	9	3	1	0.9	84.7	0.4	-	6.96
72	Chad MarshallSeattle Sounders FC, 33, D(C)	27(1)	2366	1	2	2	-	0.5	90.1	2.1	1	6.96
73	Daniel RoyerNew York Red Bulls, 27, AM(CLR)	23(3)	1870	12	2	5	-	2	71.4	1.2	3	6.95
74	Yangel HerreraNew York City FC, 20, DMC	14(4)	1223	1	2	6	1	1.1	81.1	1.7	2	6.95
75	Joao PlataReal Salt Lake, 26, AM(L),FW	27(2)	2320	7	4	1	-	3.3	79.7	0.2	2	6.95
76	Roger EspinozaSporting Kansas City, 31, M(CL)	30	2680	1	2	8	1	1.6	84.1	1.5	-	6.95
77	Drew MoorToronto FC, 34, D(CLR)	24(1)	2176	2	1	1	-	0.5	86.5	1.6	1	6.95
78	Ben SweatNew York City FC, 26, D(L)	25(1)	2176	1	6	3	-	0.7	78.8	1.8	1	6.95
79	Diego CharaPortland Timbers, 32, DMC	29	2530	1	1	8	1	0.2	89	0.6	-	6.94
80	Justen GladReal Salt Lake, 21, D(C)	18	1620	-	-	2	-	0.6	84.3	2.4	1	6.94
81	Chris PontiusPhiladelphia Union, 30, AM(CLR),FW	27(3)	2255	2	6	-	-	1.4	72.6	3.8	1	6.93
82	Nouhou ToloSeattle Sounders FC, 20, D(L)	10(9)	1054	-	-	1	1	0.3	83.3	0.5	-	6.93
83	Alberth ElisHouston Dynamo, 22, AM(R)	18(8)	1645	10	3	8	-	2.7	73.4	1.5	2	6.92
84	Kevin MolinoMinnesota United, 27, AM(CLR)	30	2514	7	9	5	-	1.5	79	0.4	5	6.92
85	Daniel SteresLA Galaxy, 27, D(C)	21	1843	3	-	1	-	0.8	85.4	2.1	1	6.92
86	Nick LimaSan Jose Earthquakes, 23, D(LR)	20(2)	1809	2	1	1	1	0.9	79.1	1	1	6.92
87	Tony BeltranReal Salt Lake, 30, D(R)	21	1821	1	1	3	-	0.4	78.2	1.2	2	6.91
88	Rodney WallaceNew York City FC, 29, D(L),M(L)	23(3)	1936	4	5	6	-	2	78.3	0.7	2	6.91
89	Romell QuiotoHouston Dynamo, 26, AM(L)	14(8)	1283	7	3	4	-	2	73.8	0.9	2	6.91
90	FelipeNew York Red Bulls, 27, M(C)	33	2961	2	3	5	-	1.1	81.5	0.4	1	6.9
91	Johan KappelhofChicago Fire, 27, D(CR),DMC	33	2881	-	2	5	1	0.1	85.2	0.9	1	6.9
92	Kyle BeckermanReal Salt Lake, 35, DMC	26	2242	4	-	8	2	1.3	82.3	0.7	1	6.9
93	Alvas PowellPortland Timbers, 23, D(R)	19(4)	1690	2	2	3	-	0.6	75.7	1.2	1	6.9
94	Juan AgudeloNew England Rev., 25, AM(CLR),FW	20(8)	1821	8	1	3	-	1.3	80.9	1.5	2	6.9
95	Chris WondolowskiSan Jose Earthquakes, 35, AM(CR),FW	34	3041	13	8	3	-	2.3	78.4	1	2	6.9
96	Will JohnsonOrlando City, 31, M(CR)	23(3)	2057	2	3	6	-	1.2	83.5	0.8	2	6.9
97	Antonio Mlinar DelameaNew England Rev., 26, D(C)	29	2547	1	1	6	1	0.4	86	2.2	2	6.9
98	Anton WalkesAtlanta United, 21, D(R)	17(3)	1528	2	-	2	-	0.4	78.5	1.3	1	6.9
99	Bill HamidDC United, 27, GK	24	2160	-	-	-	-	-	49.1	0.2	2	6.89
100	Anibal GodoySan Jose Earthquakes, 28, DMC	24(2)	2134	2	-	9	1	0.8	90.8	0.9	2	6.89
101	Jack ElliottPhiladelphia Union, 22, D(C)	29(1)	2622	1	1	4	-	0.2	77.3	1.1	-	6.89
102	Erick TorresHouston Dynamo, 25, FW	23(4)	2002	14	3	6	-	2.7	72.9	1.5	2	6.89
103	Nick DeLeonDC United, 27, D(LR),M(CLR)	18(1)	1594	-	-	3	-	0.9	82.3	1.4	-	6.88
104	Jonathan SpectorOrlando City, 32, D(CR),DMC	25	2176	1	-	4	1	0.2	82.1	1.4	1	6.88
105	Fredy MonteroVancouver Whitecaps, 30, AM(C),FW	26(7)	2470	13	6	6	-	2.6	71.9	0.5	4	6.88
106	Matias LabaVancouver Whitecaps, 26, DMC	19	1612	2	-	6	1	0.8	79.3	0.9	-	6.88
107	Maynor FigueroaFC Dallas, 34, D(CL),M(L)	26	2325	3	-	8	-	1.3	77.7	1.5	1	6.88
108	Taylor KempDC United, 27, D(L)	22	1980	-	-	2	-	0.5	70.3	1.4	-	6.88
109	IlsinhoPhiladelphia Union, 32, AM(CR)	24(3)	1851	6	3	4	-	1.4	79.5	0.4	1	6.87
110	Jakob NerwinskiVancouver Whitecaps, 23, D(R)	19	1708	-	3	2	-	0.1	73.5	1.3	1	6.87
111	Fabrice-Jean PicaultPhiladelphia Union, 27, AM(LR),FW	23(5)	1897	7	3	1	-	1.6	65.7	1.3	-	6.87
112	Hernan GranaFC Dallas, 33, D(R)	30	2660	1	3	8	-	0.3	76.8	0.5	1	6.86
113	Raheem EdwardsToronto FC, 22, M(L)	10(11)	1062	1	4	1	-	0.5	75.6	1.2	1	6.86
114	Hector JimenezColumbus Crew, 29, D(LR),M(R)	15(4)	1366	-	3	1	-	0.3	81.1	1.1	1	6.86
