R	Player	Apps	Mins	Goals	Assists	Yel	Red	SpG	PS%	AeiralsWon	MotM	Rating
230	Jordan HarveyVancouver Whitecaps, 34, D(L)	28	2510	1	1	3	-	0.3	77	0.6	-	6.6
231	Patrice BernierMontreal Impact, 38, M(C)	20(7)	1801	2	3	1	-	0.8	81.3	0.4	-	6.6
232	Mauro DiazFC Dallas, 27, AM(C)	13(6)	1108	2	3	-	-	1.1	79.3	0.1	1	6.6
233	Latif BlessingSporting Kansas City, 21, AM(LR),FW	16(9)	1420	3	1	3	-	1.5	79	0.4	1	6.6
234	Shea SalinasSan Jose Earthquakes, 31, D(L),M(CLR)	15(10)	1437	1	2	3	-	0.2	75.4	0.6	3	6.6
235	Brent KallmanMinnesota United, 27, D(C)	23	1942	2	-	7	-	0.4	82.4	1.9	1	6.6
236	Lloyd SamDC United, 33, AM(R)	23(7)	2026	2	4	5	1	0.8	77.5	0.3	-	6.59
237	Seth SinovicSporting Kansas City, 31, D(L)	32	2858	1	2	6	-	0.5	83.5	0.8	-	6.59
238	Raymon GaddisPhiladelphia Union, 28, D(LR)	23(3)	2028	-	-	5	-	0.1	83	0.3	-	6.59
239	Marcelo SarvasDC United, 36, M(C)	19(6)	1841	-	-	8	-	0.4	79.7	0.4	-	6.59
240	Joao PedroLA Galaxy, 25, DMC	26(2)	2307	1	2	7	-	1	81.9	1	-	6.59
241	DaMarcus BeasleyHouston Dynamo, 35, D(L)	22(2)	1985	-	-	-	-	0.3	85.1	0.6	-	6.59
242	Teal BunburyNew England Rev., 28, AM(R),FW	13(15)	1280	7	1	1	-	1.6	77.7	0.5	1	6.58
243	Armando CooperToronto FC, 30, M(C)	10(9)	907	-	1	2	-	0.6	85	0.4	-	6.58
244	Gyasi ZardesLA Galaxy, 26, M(LR),FW	23(1)	1987	2	2	3	-	1.2	76.2	1.8	-	6.58
245	Steve BirnbaumDC United, 27, D(C)	25(1)	2248	-	-	2	-	0.9	74	4	-	6.58
246	Evan BushMontreal Impact, 32, GK	31	2790	-	-	3	-	-	65.2	0.5	-	6.57
247	Alex CrognaleColumbus Crew, 23, D(C)	12(5)	1069	-	1	1	-	0.5	80.4	1.6	1	6.56
248	Connor LadeNew York Red Bulls, 28, D(LR)	16(5)	1382	-	2	3	-	0.6	74.3	0.4	-	6.56
249	Andrew WengerHouston Dynamo, 27, M(LR),FW	12(10)	1113	2	2	2	-	1	57.1	1	-	6.56
250	Jared JeffreyDC United, 27, DMC	19(4)	1619	1	-	4	-	0.6	78.5	0.3	-	6.55
251	Hassoun CamaraMontreal Impact, 34, D(CR)	16(2)	1351	-	-	3	1	0.6	77.8	1.9	-	6.55
252	Axel SjobergColorado Rapids, 25, D(C)	19	1638	1	-	1	1	0.6	83	1.6	-	6.55
253	Shkelzen GashiColorado Rapids, 29, AM(CLR)	12(5)	1034	2	1	1	-	1.5	77.1	0.4	1	6.54
254	Fatai AlasheSan Jose Earthquakes, 24, D(C),DMC	13(4)	1201	-	-	6	-	0.4	85	0.7	-	6.54
255	Mohammed SaeidColorado Rapids, 27, M(CL)	27(2)	2269	1	2	2	-	0.4	82.3	0.3	-	6.53
256	Chris McCannAtlanta United, 30, D(CL),M(C)	9(14)	959	-	2	-	-	0.6	82.7	0.4	-	6.53
257	Harrison AffulColumbus Crew, 31, D(R),M(R)	21(3)	1780	-	-	3	1	0.7	80.6	0.7	-	6.53
258	Vicente SanchezHouston Dynamo, 38, AM(LR),FW	3(18)	518	2	5	-	-	1	78.2	0.2	-	6.53
259	Michael SalazarMontreal Impact, 25, AM(R)	7(10)	691	3	2	1	-	0.6	76.6	0.8	1	6.53
260	Brek SheaVancouver Whitecaps, 28, D(L),M(L)	14(11)	1326	4	2	2	1	0.9	64.4	1	1	6.53
261	Carlos RivasOrlando City, 24, AM(L),FW	21(9)	1962	5	2	3	-	2.5	68.2	0.1	-	6.52
262	Tommy ThompsonSan Jose Earthquakes, 22, AM(CLR)	16(16)	1538	1	4	1	-	1.3	83.2	0.3	1	6.52
263	Mohammed AbuColumbus Crew, 26, DMC	14(6)	1281	-	-	3	-	0.3	88.4	0.4	-	6.52
264	Giles BarnesOrlando City, 29, AM(CLR),FW	23(11)	2141	3	1	-	-	1.5	80.1	1	1	6.51
265	Matteo MancosuMontreal Impact, 33, FW	20(6)	1745	6	1	5	-	1.9	65.2	1	-	6.51
266	Ian HarkesDC United, 23, DMC	22(3)	1949	2	1	2	-	1	82.7	0.7	-	6.51
267	Joshua GattColorado Rapids, 26, AM(LR)	11(9)	1067	2	2	3	-	0.9	71.6	0.5	-	6.51
268	Ethan FinlayColumbus Crew, 27, AM(R)	14(5)	1286	1	1	2	-	1.1	75.6	0.4	-	6.5
269	David BinghamSan Jose Earthquakes, 28, GK	23	2070	-	1	3	-	-	52.6	0.5	1	6.5
270	Chris TierneyNew England Rev., 32, D(L)	20(6)	1716	1	2	3	-	0.3	81.8	0.5	-	6.5
271	Victor UlloaFC Dallas, 26, DMC	12(11)	1206	-	2	1	-	0.3	85.2	0.9	-	6.5
272	Tommy ReddingOrlando City, 21, D(C)	14(4)	1406	-	-	3	-	0.1	83	0.9	-	6.49
273	Harry ShippSeattle Sounders FC, 26, AM(CLR),FW	11(7)	928	2	-	1	-	0.8	84.2	0.3	-	6.48
274	Sean FranklinDC United, 33, D(R),M(R)	15(4)	1416	-	2	5	-	0.4	75.9	1.2	1	6.48
275	Miguel IbarraMinnesota United, 28, AM(LR)	20(9)	1760	3	3	2	-	0.8	84.8	0.4	-	6.48
276	Thomas McNamaraNew York City FC, 27, M(CL)	19(8)	1576	3	1	5	-	0.9	85	0.2	1	6.48
277	Tesho AkindeleFC Dallas, 26, AM(CLR),FW	15(14)	1512	4	-	3	1	0.7	76	1.1	-	6.47
278	Kofi SarkodieSan Jose Earthquakes, 27, D(LR)	16(2)	1326	-	1	1	1	0.2	79.6	0.7	-	6.46
279	Gonzalo VeronNew York Red Bulls, 32, AM(R),FW	5(19)	779	6	1	1	-	1.2	72.3	0.4	-	6.46
280	Ryan HollingsheadFC Dallas, 27, D(LR),M(LR)	9(9)	822	-	-	-	-	0.9	78	0.9	-	6.46
281	Jonathan OsorioToronto FC, 25, AM(CLR)	9(18)	1062	2	1	1	-	0.6	89.4	0.1	-	6.45
282	Lawrence OlumPortland Timbers, 33, D(C),DMC	22(8)	2103	1	-	3	-	0.3	88.1	0.8	-	6.45
283	Alphonso DaviesVancouver Whitecaps, 17, AM(LR)	9(17)	1057	-	1	1	-	0.6	71.8	0.1	-	6.45
284	Eric MillerColorado Rapids, 25, D(CLR)	30	2617	-	-	5	-	0.1	74	0.9	-	6.44
285	Bismark BoatengColorado Rapids, 23, DMC	10(8)	808	-	-	3	-	0.7	79.6	1.1	-	6.44
286	Hernan BernardelloMontreal Impact, 31, M(C)	17(5)	1497	-	2	5	-	0.4	82.2	0.5	-	6.44
287	Jukka RaitalaColumbus Crew, 29, D(CL),M(L)	20(8)	1921	-	1	4	-	0.3	78.4	1	-	6.44
288	Kevin KratzAtlanta United, 31, M(C)	5(15)	591	1	1	1	-	0.4	84.3	0.2	-	6.43
289	Daniel SalloiSporting Kansas City, 21, AM(L)	12(10)	1173	3	1	1	-	1.9	80.4	0.1	2	6.43
290	Cody CropperNew England Rev., 25, GK	28	2520	-	-	-	-	-	53.1	0.1	-	6.43
291	Djordje MihailovicChicago Fire, 19, DMC	7(10)	734	1	-	-	-	0.5	85.1	0.2	-	6.43
292	Matthew LampsonChicago Fire, 28, GK	24	2160	-	-	4	-	-	64	0.4	-	6.42
293	Abu DanladiMinnesota United, 22, FW	15(12)	1392	8	2	4	1	1.4	75.5	0.2	-	6.42
294	Dillon SernaColorado Rapids, 24, AM(LR)	9(10)	946	1	1	-	-	1.4	70.7	0.3	-	6.41
295	Roland AlbergPhiladelphia Union, 27, AM(CL)	9(15)	872	7	-	3	-	1.3	83.3	0.2	-	6.41
296	Patrick MullinsDC United, 26, FW	12(8)	1076	5	-	1	-	1.9	62.2	1.8	1	6.4
297	Bradford JamiesonLA Galaxy, 21, AM(CR),FW	11(13)	985	3	1	2	-	0.3	76.8	0.5	-	6.4
298	Jonathan CampbellChicago Fire, 24, D(C)	8(16)	1012	-	-	2	-	-	84.2	0.8	-	6.4
299	Antonio NocerinoOrlando City, 33, M(C)	28(3)	2235	1	-	2	1	0.5	85.3	0.1	-	6.39
300	Chris WingertReal Salt Lake, 35, D(CLR)	20(3)	1756	1	-	5	-	0.3	73.5	1.3	-	6.39
301	Jared WattsColorado Rapids, 26, D(C),DMC	18(2)	1490	-	1	4	2	0.2	82.2	0.6	1	6.38
302	Mike da FonteColorado Rapids, 27, D(L)	14(3)	1225	-	-	5	-	0.1	76.5	1.4	-	6.38
303	Bernie Ibini-IseiVancouver Whitecaps, 25, AM(R)	7(10)	629	1	1	-	-	1.1	85.1	0.2	-	6.38
304	Luis GilOrlando City, 24, AM(C)	6(11)	598	-	-	1	-	0.6	80.5	0.2	-	6.38
305	Rafael GarciaLA Galaxy, 29, D(R),DMC	12(6)	1186	-	-	1	-	0.1	83.9	0.5	-	6.38
306	Yura MovsisyanReal Salt Lake, 30, FW	16(12)	1419	7	-	4	-	1.6	58.4	0.7	-	6.37
307	Jake GleesonPortland Timbers, 27, GK	21	1818	-	-	-	-	-	60	0.1	-	6.37
308	Kenwyne JonesAtlanta United, 33, FW	5(12)	500	2	-	-	-	0.6	65.5	1.8	-	6.36
309	Sebastian SaucedoReal Salt Lake, 21, AM(L)	5(15)	574	-	2	2	-	1.5	81.3	0.1	-	6.35
310	Marcus EppsPhiladelphia Union, 23, AM(R)	7(12)	711	2	-	-	-	0.8	72.9	0.3	-	6.34
311	Nicolas MezquidaVancouver Whitecaps, 26, AM(CR),FW	8(12)	686	2	1	1	-	0.6	68.5	0.2	-	6.34
312	Johan VenegasMinnesota United, 29, AM(CR)	12(10)	1229	2	5	4	-	1.5	76	0.5	-	6.34
313	Collen WarnerMinnesota United, 29, M(C)	12(13)	1283	1	-	6	-	0.3	81.3	0.8	-	6.33
314	Lamar NeagleDC United, 30, AM(LR),FW	9(13)	1117	1	-	4	-	1.2	68.7	1.5	1	6.32
315	Cristian ColmanFC Dallas, 24, FW	10(16)	961	2	1	1	-	1.5	62.3	1.5	1	6.31
316	Derrick EtienneNew York Red Bulls, 21, Midfielder	8(10)	702	-	2	2	-	0.7	76.4	-	-	6.3
317	Drew ConnerChicago Fire, 24, D(R)	8(13)	883	-	-	-	-	0.1	83.5	0.3	-	6.29
318	Dominic OduroMontreal Impact, 32, AM(R),FW	17(8)	1440	1	-	1	-	1	76.9	0.3	-	6.29
319	Jack McBeanLA Galaxy, 23, FW	8(10)	715	2	-	4	-	0.5	66.8	1.3	1	6.28
320	Alan GordonColorado Rapids, 36, FW	6(20)	818	3	3	4	1	0.9	71.9	1.4	-	6.26
321	Je-Vaughn WatsonNew England Rev., 34, D(CLR),M(CR)	8(10)	766	-	-	4	1	0.3	83.5	0.6	-	6.2
322	Adam JahnColumbus Crew, 27, FW	1(20)	316	1	1	3	-	0.4	64.6	1.2	-	6.18
323	Jay SimpsonPhiladelphia Union, 29, Forward	4(18)	472	1	-	-	-	0.6	87	0.3	-	6.18
