,R,Player,Apps,Mins,Goals,Assists,Yel,Red,SpG,PS%,AeiralsWon,MotM,Rating
,227,"Collen WarnerHouston Dynamo, 29, M(C)",24,1979,-,-,2,-,0.5,83.7,0.8,-,6.59
,228,"Tommy ReddingOrlando City, 21, D(C)",16(2),1348,-,-,2,-,-,84.6,0.7,-,6.59
,229,"Brandon VincentChicago Fire, 23, D(L),M(L)",24(2),2191,-,2,1,-,0.3,66.5,1.3,-,6.59
,230,"Tsubasa EndohToronto FC, 24, M(CR)",15(6),1388,2,-,-,-,1.1,82.6,0.2,-,6.58
,231,"Ethan FinlayColumbus Crew, 27, AM(R)",27(7),2494,6,6,2,-,1.4,77.5,0.3,1,6.58
,232,"Servando CarrascoOrlando City, 29, DMC",21(10),2001,-,1,5,-,0.4,84.2,0.5,-,6.58
,233,"John GoossensChicago Fire, 29, AM(CR)",15(9),1292,3,4,-,-,1.3,75.6,-,1,6.58
,234,"Jeff LarentowiczLA Galaxy, 34, D(C),DMC",17(6),1496,1,-,5,-,0.5,83.6,1.4,-,6.57
,235,"Rob VincentDC United, 27, DMC",12(8),1137,2,-,4,-,0.9,77.5,0.5,1,6.57
,236,"Zac MacMathColorado Rapids, 26, GK",18,1531,-,-,3,-,-,60.8,0.6,-,6.57
,237,"Cristián MaidanaHouston Dynamo, 31, AM(CL)",21(9),1695,3,3,1,-,0.7,82.3,0.3,-,6.57
,238,"Baggio HusidicLA Galaxy, 30, M(CLR)",16(13),1556,2,2,2,-,0.4,84.6,0.4,-,6.57
,239,"Harry ShippMontreal Impact, 26, AM(CLR),FW",20(7),1596,2,3,2,-,0.9,78.8,0.6,-,6.57
,240,"Brad DavisSporting Kansas City, 36, AM(CLR)",14(10),1300,2,1,-,-,1.4,83.7,0.3,1,6.57
,241,"Tim MeliaSporting Kansas City, 31, GK",27,2430,-,-,3,-,-,52.2,0.3,2,6.57
,242,"Waylon FrancisColumbus Crew, 27, D(L),M(L)",13(6),1234,-,3,2,-,0.3,81.2,0.8,-,6.56
,243,"Luke BodenOrlando City, 29, D(L)",19(1),1614,-,2,2,-,0.3,80.5,0.6,-,6.56
,244,"Cristian TecheraVancouver Whitecaps, 25, AM(LR)",19(10),1586,2,1,3,-,1.5,74.1,0.1,-,6.56
,245,"Luis SolignacColorado Rapids, 27, AM(CLR),FW",12(6),1105,3,-,-,-,1.4,73.2,0.8,-,6.56
,246,"Darren MattocksPortland Timbers, 27, AM(LR),FW",12(7),941,1,2,-,-,1.1,71.6,0.8,1,6.55
,247,"Jack JewsburyPortland Timbers, 37, D(LR),DMC",17(6),1503,1,2,4,-,0.3,87.9,0.6,3,6.54
,248,"Victor UlloaFC Dallas, 26, DMC",18(14),1642,2,-,2,-,0.3,81.4,1.1,-,6.54
,249,"Álvaro SaborioDC United, 36, FW",8(11),890,6,1,-,-,1.9,68.6,1.3,-,6.54
,250,"Cordell CatoSan Jose Earthquakes, 25, D(LR),M(R)",15(6),1391,-,2,-,-,0.4,77.6,0.3,-,6.54
,251,"Chris WingertReal Salt Lake, 35, D(CLR)",18(2),1514,-,-,5,-,0.3,74,1.2,-,6.53
,252,"Lucas OntiveroMontreal Impact, 23, AM(R)",12(9),980,2,2,4,-,1.4,75.4,0.2,-,6.52
,253,"Tesho AkindeleFC Dallas, 26, AM(CLR),FW",15(16),1516,6,4,2,-,1.1,75.1,0.9,1,6.52
,254,"Tommy ThompsonSan Jose Earthquakes, 22, AM(CLR)",9(8),826,-,-,2,-,0.7,82.2,0.6,-,6.52
,255,"Liam RidgewellPortland Timbers, 33, D(CL)",22,1980,1,-,6,-,0.5,80.4,1.3,1,6.51
,256,"Roland AlbergPhiladelphia Union, 27, AM(CL)",13(15),1155,9,1,1,1,1.7,84.8,0.3,1,6.51
,257,"Mauro ManotasHouston Dynamo, 22, AM(LR),FW",10(12),1055,6,1,-,-,1.9,79.6,0.2,1,6.5
,258,"Evan BushMontreal Impact, 32, GK",33,2931,-,-,3,1,-,55.9,0.2,1,6.5
,259,"Carlos RivasOrlando City, 24, AM(L),FW",8(13),800,3,3,6,-,1.6,71.4,0.1,1,6.5
,260,"Michael ParkhurstColumbus Crew, 34, D(CR)",34,3066,-,2,2,1,-,84.5,0.6,1,6.5
,261,"Erik FribergSeattle Sounders FC, 32, M(C)",18(7),1584,-,1,4,-,0.5,85.7,0.2,1,6.5
,262,"Corey AsheColumbus Crew, 32, D(L)",14(4),1214,-,1,1,-,0.2,81.6,0.2,-,6.49
,263,"Jordan AllenReal Salt Lake, 22, M(LR)",11(12),1103,3,1,1,-,0.7,81.9,0.3,-,6.49
,264,"Julian BuescherDC United, 24, M(C)",3(17),586,1,4,3,-,0.4,73.2,0.2,-,6.49
,265,"Kevin AlstonOrlando City, 29, D(LR)",21(3),1989,-,-,3,-,0.2,81.7,0.4,-,6.49
,266,"Bobby ShuttleworthNew England Rev., 30, GK",20(1),1816,-,-,1,1,-,59.7,0.2,1,6.48
,267,"Julio BaptistaOrlando City, 36, AM(C),FW",5(18),732,6,1,1,-,1.2,77,0.4,-,6.48
,268,"Sheanon WilliamsHouston Dynamo, 28, D(CLR)",20(2),1807,-,1,3,-,0.2,76.4,0.6,-,6.48
,269,"Teal BunburyNew England Rev., 28, AM(R),FW",19(8),1667,2,2,5,-,1.8,71.8,1.4,-,6.47
,270,"Patrice BernierMontreal Impact, 38, M(C)",13(7),1186,-,1,4,-,0.3,85.1,0.4,-,6.47
,271,"Michael StephensChicago Fire, 29, M(CR)",11(6),950,-,1,1,-,0.1,79.7,0.1,-,6.46
,272,"Shea SalinasSan Jose Earthquakes, 31, D(L),M(CLR)",8(25),1226,1,5,-,-,0.6,71.4,0.3,1,6.46
,273,"Will BruinHouston Dynamo, 28, FW",18(13),1556,4,2,1,-,1.9,70,1,-,6.44
,274,"Héctor JiménezColumbus Crew, 29, D(LR),M(R)",14(11),1269,-,-,-,-,0.6,79.3,0.5,-,6.43
,275,"CedrickColumbus Crew, 26, AM(LR)",6(11),624,1,-,-,-,0.7,80,0.2,-,6.43
,276,"Antonio NocerinoOrlando City, 33, M(C)",19(2),1512,-,-,3,1,0.5,81.4,0.2,1,6.42
,277,"Fabian HerbersPhiladelphia Union, 24, AM(R)",13(19),1293,3,6,3,-,1,74.4,0.6,-,6.42
,278,"Nicolás MezquidaVancouver Whitecaps, 26, AM(CR),FW",17(11),1396,4,1,1,-,1.8,72.7,0.2,-,6.42
,279,"Alan GordonLA Galaxy, 36, FW",7(15),711,3,1,2,-,0.7,73.4,1.9,-,6.42
,280,"Mauro RosalesFC Dallas, 37, AM(CR)",4(19),546,2,3,2,-,0.3,71.5,0.2,-,6.41
,281,"Connor HalliseySporting Kansas City, 25, AM(LR)",12(5),1075,-,1,-,-,1.1,79.3,0.3,-,6.41
,282,"Kyle BekkerMontreal Impact, 27, M(C)",13(5),1139,1,-,3,-,0.6,86.5,0.3,-,6.4
,283,"Calum MallaceMontreal Impact, 28, DMC",10(8),864,-,-,3,1,0.3,85,0.7,-,6.4
,284,"Jack McInerneyPortland Timbers, 25, FW",8(16),908,5,-,1,-,1.5,80.7,0.4,-,6.4
,285,"Gonzalo VerónNew York Red Bulls, 32, AM(R),FW",6(17),631,3,-,2,1,0.8,75.6,0.3,-,6.39
,286,"Michael SalazarMontreal Impact, 25, AM(R)",8(9),711,2,-,1,-,0.5,74.4,1,-,6.38
,287,"Blas PérezVancouver Whitecaps, 37, FW",5(17),755,2,1,5,-,0.7,68.3,1.8,1,6.37
,288,"Masato KudoVancouver Whitecaps, 27, FW",12(5),894,2,1,-,-,1.5,77.1,0.3,-,6.37
,289,"Erik HurtadoVancouver Whitecaps, 27, AM(R),FW",12(12),1230,2,1,2,-,1.4,77,0.5,1,6.36
,290,"Nélson Haedo ValdezSeattle Sounders FC, 34, AM(R),FW",8(16),901,-,1,4,-,1.3,73.8,1.7,-,6.33
,291,"John StertzerReal Salt Lake, 27, DMC",9(9),778,-,1,-,-,0.3,82.6,0.5,-,6.31
,292,"Michael HarringtonChicago Fire, 32, D(LR)",16(3),1292,-,1,-,1,0.1,72.3,0.4,-,6.31
,293,"Johan VenegasMontreal Impact, 29, AM(CR)",7(13),683,1,1,2,-,0.8,73,0.2,-,6.3
,294,"Olmes GarcíaReal Salt Lake, 25, AM(LR),FW",9(15),965,1,1,2,-,0.8,65.7,1.3,-,6.29
,295,"Ned GrabavoyPortland Timbers, 34, M(CL)",5(17),634,-,-,3,-,0.5,88.7,0.5,-,6.27
,296,"Chad BarrettSan Jose Earthquakes, 32, AM(R),FW",3(17),532,2,1,1,-,0.9,68.6,0.6,1,6.27
,297,"Femi Hollinger-JanzenNew England Rev., 24, Forward",1(18),276,2,1,-,-,0.5,71.6,0.7,-,6.26
,298,"Jack BarmbyPortland Timbers, 23, Midfielder",2(17),382,1,-,1,-,0.6,77,0.1,1,6.25
,299,"Hérculez GómezSeattle Sounders FC, 36, AM(R)",9(12),844,-,-,1,-,0.7,81.9,0.7,-,6.24
,300,"Daigo KobayashiNew England Rev., 35, M(CR)",6(21),701,1,-,-,-,0.5,82.6,0.1,-,6.22
