,R,Player,Apps,Mins,Goals,Assists,Yel,Red,SpG,PS%,AeiralsWon,MotM,Rating
,52,"Ambroise OyongoMontreal Impact, 26, D(LR),M(L)",26(1),2316,-,4,4,1,0.6,74.7,0.4,1,6.98
,53,"Graham ZusiSporting Kansas City, 31, D(R),M(CLR)",18(3),1652,2,2,1,-,1.4,80.8,0.4,1,6.98
,54,"Luciano AcostaDC United, 23, AM(C),FW",25(6),2111,3,8,9,-,1.6,74.8,0.3,2,6.98
,55,"Aníbal GodoySan Jose Earthquakes, 28, DMC",23,1941,1,2,6,2,1.2,89.4,1,3,6.98
,56,"Alvas PowellPortland Timbers, 23, D(R)",23,2016,-,1,4,-,0.3,69.4,1.3,1,6.98
,57,"Razvan CocisChicago Fire, 35, M(C)",19(11),1902,5,2,4,-,0.9,76.2,1.5,2,6.98
,58,"Aaron MaundReal Salt Lake, 27, D(C)",20,1746,-,-,4,-,0.3,79.5,2.1,2,6.97
,59,"Jack HarrisonNew York City FC, 21, AM(R)",17(4),1604,4,6,-,-,1,73.6,0.3,1,6.97
,60,"Chad MarshallSeattle Sounders FC, 33, D(C)",30,2634,4,-,2,-,0.7,84.9,2.1,3,6.97
,61,"FelipeNew York Red Bulls, 27, M(C)",33,2898,5,4,6,1,1.6,76.5,0.3,2,6.96
,62,"Juan AgudeloNew England Rev., 25, AM(CLR),FW",14(10),1349,7,4,5,-,2.2,80.1,1.6,2,6.96
,63,"Micheal AziraColorado Rapids, 30, DMC",28(3),2504,-,1,8,1,0.4,83.8,1.1,-,6.95
,64,"Fabian CastilloFC Dallas, 25, AM(CLR),FW",20(2),1752,5,5,1,-,2,68.5,0.2,1,6.95
,65,"Kevin DoyleColorado Rapids, 34, M(C),FW",24(2),2182,6,2,5,-,2.8,72.5,3,3,6.95
,66,"Federico HiguaínColumbus Crew, 33, AM(C)",18(2),1610,4,2,-,-,2.3,79.3,0.2,-,6.94
,67,"AlexHouston Dynamo, 29, M(CLR)",29(1),2476,5,2,8,1,1.4,80.8,1,2,6.94
,68,"Maynor FigueroaFC Dallas, 34, D(CL),M(L)",28,2434,-,1,7,1,0.8,75.8,1.7,-,6.94
,69,"Jake GleesonPortland Timbers, 27, GK",27(1),2470,-,-,1,-,-,47.6,0.3,-,6.94
,70,"Justin MorrowToronto FC, 30, D(CLR),M(L)",31,2653,5,3,5,-,0.5,75.9,0.6,2,6.93
,71,"Drew MoorToronto FC, 34, D(CLR)",32,2880,3,-,3,-,0.7,86,1.7,2,6.92
,72,"Jonathan CampbellChicago Fire, 24, D(C)",30(3),2823,1,1,1,-,0.3,79.6,1.3,-,6.92
,73,"Lamar NeagleDC United, 30, AM(LR),FW",21(10),1950,9,5,2,-,1.6,69.3,1.9,1,6.91
,74,"Alberto QuinteroSan Jose Earthquakes, 30, M(LR)",29(1),2231,3,4,4,1,0.9,81.7,0.3,2,6.91
,75,"Jimmy MedrandaSporting Kansas City, 24, D(L),M(CLR)",22(6),1939,1,1,7,1,1.5,74,0.2,2,6.91
,76,"Ronald ZubarNew York Red Bulls, 32, D(C)",19(2),1593,2,-,6,-,0.5,77.2,2.6,1,6.91
,77,"Lee NguyenNew England Rev., 31, AM(CLR),FW",33,2902,6,4,2,-,2.1,80.1,-,2,6.91
,78,"Ricardo ClarkHouston Dynamo, 35, M(C)",29(3),2551,4,2,4,-,1.3,82.1,1.3,1,6.91
,79,"Rodrigo RamosChicago Fire, 22, D(R)",16(5),1485,-,2,4,-,0.4,72.1,0.3,-,6.9
,80,"Mike GrellaNew York Red Bulls, 31, AM(LR)",28(4),2410,7,5,7,-,1.3,77.1,0.5,1,6.9
,81,"Matt PolsterChicago Fire, 24, D(R),DMC",24(3),2108,2,1,5,-,0.7,81.3,1.3,1,6.89
,82,"Axel SjobergColorado Rapids, 25, D(C)",31,2772,2,1,6,-,0.4,82.3,2.2,1,6.89
,83,"Jordan MorrisSeattle Sounders FC, 23, AM(LR),FW",32(2),2858,12,3,-,-,2.1,77.5,1.8,2,6.88
,84,"Frederic BrillantNew York City FC, 32, D(C)",31,2820,1,-,4,-,0.4,83.6,2.4,1,6.88
,85,"Marc BurchColorado Rapids, 33, D(L),M(L)",27(1),2443,-,3,9,-,0.1,78.3,0.6,1,6.88
,86,"Connor LadeNew York Red Bulls, 28, D(LR)",15(3),1380,1,1,4,-,0.8,74.1,0.8,1,6.88
,87,"Chris WondolowskiSan Jose Earthquakes, 35, AM(CR),FW",30,2697,12,3,-,-,2.6,73,1.4,-,6.88
,88,"Andrew FarrellNew England Rev., 26, D(CR)",32(1),2891,-,-,1,-,0.1,75.6,0.9,3,6.88
,89,"Atiba HarrisFC Dallas, 33, D(CLR),M(R),FW",22(6),1971,1,2,6,-,0.6,73.5,2.1,1,6.88
,90,"Víctor BernárdezSan Jose Earthquakes, 35, D(C)",33,2835,1,-,5,-,0.4,76.3,1.5,1,6.88
,91,"DaMarcus BeasleyHouston Dynamo, 35, D(L)",24,1980,1,-,1,-,0.2,81.6,1,3,6.88
,92,"Zarek ValentinPortland Timbers, 26, D(LR)",18(2),1608,1,1,2,-,0.2,78,1.1,1,6.88
,93,"Carlos GruezoFC Dallas, 23, DMC",26(1),2240,-,-,9,-,0.9,81.7,0.8,-,6.87
,94,"Warren CreavallePhiladelphia Union, 27, D(R),DMC",21(6),1810,-,1,5,1,0.1,79.5,0.9,1,6.87
,95,"Keegan RosenberryPhiladelphia Union, 24, D(R)",34,3060,2,-,-,-,0.6,77.4,0.9,2,6.87
,96,"Fanendo AdiPortland Timbers, 27, FW",30(3),2650,16,-,7,-,2.7,65.1,1.9,5,6.87
,97,"Kendall WastonVancouver Whitecaps, 30, D(C)",26,2267,3,1,7,3,0.8,77.6,2.7,1,6.87
,98,"Cristian RoldanSeattle Sounders FC, 22, M(CR)",28(5),2632,4,2,2,-,0.9,83.3,1.2,2,6.86
,99,"RJ AllenNew York City FC, 28, D(LR)",19(5),1752,1,5,7,-,0.2,75.7,0.9,1,6.86
,100,"Pedro MoralesVancouver Whitecaps, 32, M(CL)",26(1),2074,9,4,4,2,1.9,83.4,0.4,1,6.86
,101,"Thomas McNamaraNew York City FC, 27, M(CL)",28(2),2260,5,9,5,-,1.3,81.5,0.2,1,6.86
,102,"David BinghamSan Jose Earthquakes, 28, GK",34,3015,-,-,2,-,-,50.7,0.6,1,6.85
,103,"Brian RoweLA Galaxy, 29, GK",30(1),2765,-,-,-,-,-,51.9,0.3,2,6.85
,104,"Joao PlataReal Salt Lake, 26, AM(L),FW",28(2),2478,9,8,4,-,2.6,81.7,0.1,1,6.85
,105,"Arturo ÁlvarezChicago Fire, 32, AM(CR)",24(6),1927,5,9,2,-,1.3,71.7,0.1,2,6.85
,106,"Matías LabaVancouver Whitecaps, 26, DMC",32,2729,-,-,5,1,0.3,85.2,1.2,-,6.85
,107,"Nuno CoelhoSporting Kansas City, 32, D(C)",20(2),1620,1,1,2,-,0.8,81,1.1,-,6.85
,108,"Cristian HiguitaOrlando City, 24, DMC",16(5),1513,1,1,9,1,0.5,84.4,0.8,-,6.84
,109,"Steve ClarkColumbus Crew, 32, GK",32,2910,-,-,1,-,-,72.8,0.3,-,6.84
,110,"Dominic DwyerSporting Kansas City, 27, FW",31(2),2825,16,2,8,-,3.6,65.8,1.4,5,6.84
,111,"Donny ToiaMontreal Impact, 25, D(LR)",15(2),1366,-,2,2,-,0.3,77.3,1,-,6.84
